"","razonSocial","nomComuna","place","direccion","idCust","weekday","serviceTime","COD","Name","p10","p15","p20","p25","p30","p35","p40"
"14","ALMACENES PARIS COMERCIAL S.A.","Las Condes",3,"AV KENNEDY 5225 P 4 PQUE ARAUC",272,4,130,"LC","272_LC_4",1853.649113298,1630.75737063495,1508.39251567544,1367.51075067212,1310.90562367123,1347.80636160147,1006.03647857191
"15","AMCHAM CHILE","Las Condes",3,"AV. KENNEDY 5735 OF.201 TORRE PONIENTE",273,4,90,"LC","273_LC_4",1854.60820186396,1657.96767425353,1510.02355490199,1401.93751764274,1315.05670786725,1351.13565773797,1007.87678819123
"16","ARAUCO SALUD S.A.","Las Condes",3,"KENNEDY 5757 TORRE ORIENTE OF-702",343,5,45,"LC","343_LC_5",1860.3540870379,1688.63544354149,1514.68364241451,1408.03318286669,1316.73810245847,1363.70913945925,1008.80305591042
"17","ARAWAK S.A. SERVICIOS PERSONALES","Santiago",1,"PORVENIR 464",274,4,60,"SA","274_SA_4",1863.46495100557,1693.30347960609,1541.27306539866,1411.69978146883,1320.63218520207,1366.63827350653,1050.85478281885
"18","ARTEL S.A.I.C.","Santiago",1,"MATIAS COUSIóO 54 PISO 2",3,1,75,"SA","3_SA_1",1864.11771685267,1705.99845292389,1569.6546228141,1423.78911721671,1327.01449993467,1367.62622550151,1054.13140015501
"19","ASEA BROWN BOVERI S.A.","óu“oa",5,"VICUóA MACKENNA 1602 RECEPCION.",106,2,75,"NU","106_NU_2",1872.10488533212,1709.44905939869,1576.07895267286,1424.17926302958,1334.05048481785,1373.82959692068,1071.47444543394
"20","ASESORES EN VIAJE S.A.","Providencia",2,"Las Bellotas # 225",107,2,30,"PR","107_PR_2",1879.62104602073,1715.56616070888,1591.82588987369,1468.38363569705,1339.56686303335,1375.05452343213,1079.40385537412
"21","ASOC.FUNC.MUNICIP.DE LAS CONDES","Las Condes",3,"APOQUINDO 3076 SUBTERRANEO",344,5,120,"LC","344_LC_5",1881.0063276848,1735.73127594975,1593.27709985097,1487.83540075233,1353.10526407512,1394.3546230777,1107.02995185416
"22","ASOC.FUNC.MUNICIP.DE LAS CONDES","Las Condes",3,"AV. APOQUINDO 3076 INTERIOR  SUBTE",108,2,10,"LC","108_LC_2",1881.0063276848,1735.73127594975,1593.27709985097,1487.83540075233,1353.10526407512,1394.3546230777,1107.02995185416
"23","ASOCIADOS UNDURRAGA IMPRESORES LTDA.","Santiago",1,"ANDES 3561",345,5,150,"SA","345_SA_5",1882.29557451797,1741.96511585498,1600.29412283792,1495.24837620477,1383.59801939062,1408.43264666639,1125.00210615307
"24","AUTOMOVIL CLUB DE CHILE","Providencia",2,"ANDRES BELLO 1863 PISO 2",194,3,20,"PR","194_PR_3",1898.15586402008,1742.9416141404,1613.14754558556,1500.56248459326,1392.33384468077,1415.2474882024,1143.10506870752
"25","BAEZA Y COMPAóIA LTDA.","Las Condes",3,"APOQUINDO 3001 PISO 12 OFIC. 1203",4,1,120,"LC","4_LC_1",1899.99954965887,1747.49843853905,1620.66624826935,1516.66147034115,1396.85555781012,1415.61143317363,1175.91411826878
"26","BANCO CONOSUR","Santiago",1,"ALAMEDA 1980 P.4",195,3,150,"SA","195_SA_3",1904.36673353508,1758.7372506049,1621.78862037517,1538.46360234315,1413.96862753986,1416.85433393409,1179.72203227548
"27","BANCO DE CHILE","Santiago",1,"AGUSTINAS 733 PISO 1 BCA.ORIVADA",5,1,90,"SA","5_SA_1",1904.43217719996,1759.48153198951,1631.92788048298,1546.04211623059,1417.14048480898,1432.7215938619,1190.15281722589
"28","BANCO DE CHILE","Santiago",1,"AGUSTINAS 951, P. 5 SALA PROC.",197,3,120,"SA","197_SA_3",1904.43217719996,1759.48153198951,1631.92788048298,1546.04211623059,1417.14048480898,1432.7215938619,1190.15281722589
"29","BANCO DE CHILE","Las Condes",3,"LAS CONDES 10247 OF ESTORIL EDUARD",346,5,70,"LC","346_LC_5",1904.43217719996,1759.48153198951,1631.92788048298,1546.04211623059,1417.14048480898,1432.7215938619,1190.15281722589
"30","BANCO DE CHILE","Santiago",1,"HUERFANOS 980 P.2 COMERCIO EXTERIOR-3",199,3,80,"SA","199_SA_3",1904.43217719996,1759.48153198951,1631.92788048298,1546.04211623059,1417.14048480898,1432.7215938619,1190.15281722589
"31","BANCO DE CHILE","Providencia",2,"PROVIDENCIA 2178 ( STA. ISABEL )",196,3,45,"PR","196_PR_3",1904.43217719996,1759.48153198951,1631.92788048298,1546.04211623059,1417.14048480898,1432.7215938619,1190.15281722589
"32","BANCO DE CHILE","Santiago",1,"ESTADO 387 P.2",198,3,60,"SA","198_SA_3",1904.43217719996,1759.48153198951,1631.92788048298,1546.04211623059,1417.14048480898,1432.7215938619,1190.15281722589
"33","BANCO DE CREDITO E INVERSIONES","Santiago",1,"BANDERA 236 19-A PISO 3 CC.12282",6,1,30,"SA","6_SA_1",1908.62011453545,1771.31365153269,1639.20116269776,1563.33357455105,1419.38543350562,1436.53872348809,1197.70977253423
"34","BANCO DE CREDITO E INVERSIONES","Santiago",1,"SAN DIEGO 2043",200,3,60,"SA","200_SA_3",1908.62011453545,1771.31365153269,1639.20116269776,1563.33357455105,1419.38543350562,1436.53872348809,1197.70977253423
"35","BANCO DE CREDITO E INVERSIONES","Las Condes",3,"APOQUINDO 5710",201,3,270,"LC","201_LC_3",1908.62011453545,1771.31365153269,1639.20116269776,1563.33357455105,1419.38543350562,1436.53872348809,1197.70977253423
"36","BANCO DEL DESARROLLO","Santiago",1,"ALAMEDA 929 P5",347,5,20,"SA","347_SA_5",1909.90138246197,1771.94195686838,1640.45003505444,1567.06302778071,1445.84907860301,1462.05759942534,1210.97885162849
"37","BANCO DEL ESTADO DE CHILE","Santiago",1,"ALAMEDA 1111 P 8 SUBGCIA REGULARIZ.CRED.",7,1,290,"SA","7_SA_1",1913.06102741034,1777.82706649629,1649.30524069294,1571.62969525517,1446.72834268481,1462.14399903228,1223.3014185274
"38","BANCO DEL ESTADO DE CHILE","Santiago",1,"ALAMEDA 1111 P.3 COMERCIO EXT",202,3,180,"SA","202_SA_3",1913.06102741034,1777.82706649629,1649.30524069294,1571.62969525517,1446.72834268481,1462.14399903228,1223.3014185274
"39","BANCO DEL ESTADO DE CHILE","Santiago",1,"HUERFANOS 1202 P.3 OF.310",8,1,60,"SA","8_SA_1",1913.06102741034,1777.82706649629,1649.30524069294,1571.62969525517,1446.72834268481,1462.14399903228,1223.3014185274
"40","BANCO DEL ESTADO DE CHILE","Santiago",1,"MORANDE 25 PISO 3",110,2,120,"SA","110_SA_2",1913.06102741034,1777.82706649629,1649.30524069294,1571.62969525517,1446.72834268481,1462.14399903228,1223.3014185274
"41","BANCO DEL ESTADO DE CHILE","Santiago",1,"ALAMEDA 1111 P.6 GCIA. GRAL.FINANZAS",111,2,120,"SA","111_SA_2",1913.06102741034,1777.82706649629,1649.30524069294,1571.62969525517,1446.72834268481,1462.14399903228,1223.3014185274
"42","BANCO DEL ESTADO DE CHILE","Santiago",1,"NUEVA YORK 33 P 17",112,2,60,"SA","112_SA_2",1913.06102741034,1777.82706649629,1649.30524069294,1571.62969525517,1446.72834268481,1462.14399903228,1223.3014185274
"43","BANCO DEL ESTADO DE CHILE","Santiago",1,"BANDERA 861   1P",109,2,110,"SA","109_SA_2",1913.06102741034,1777.82706649629,1649.30524069294,1571.62969525517,1446.72834268481,1462.14399903228,1223.3014185274
"44","BANCO DEL ESTADO DE CHILE","Santiago",1,"ALAMEDA 1111 P 3 COMERCIO EXTE",114,2,60,"SA","114_SA_2",1913.06102741034,1777.82706649629,1649.30524069294,1571.62969525517,1446.72834268481,1462.14399903228,1223.3014185274
"45","BANCO DEL ESTADO DE CHILE","Santiago",1,"MORANDE 25 FISCALIA P.5 OF 503",113,2,60,"SA","113_SA_2",1913.06102741034,1777.82706649629,1649.30524069294,1571.62969525517,1446.72834268481,1462.14399903228,1223.3014185274
"46","BANCO DEL ESTADO DE CHILE","Santiago",1,"ALAMEDA 1111 P.2 MODULO 6",203,3,45,"SA","203_SA_3",1913.06102741034,1777.82706649629,1649.30524069294,1571.62969525517,1446.72834268481,1462.14399903228,1223.3014185274
"47","BANCO IND.Y DE COMERCIO EXTERIOR","Providencia",2,"ISIDORA GOYENECHEA 3132 P 1",115,2,90,"PR","115_PR_2",1917.20233483514,1806.05674680717,1649.85407617754,1579.15983429849,1457.91424680408,1469.37054205601,1245.36503959191
"48","BANCO INTERNACIONAL","Santiago",1,"MONEDA 818 P.4 CENTRO COPIADO",348,5,60,"SA","348_SA_5",1922.94070929792,1810.27058551798,1651.61355390412,1589.25456799094,1459.20839409695,1482.44466592856,1250.98463520909
"49","BANCO INTERNACIONAL","Santiago",1,"MONEDA 818 PISO 2 GCIA GRAL.",349,5,15,"SA","349_SA_5",1922.94070929792,1810.27058551798,1651.61355390412,1589.25456799094,1459.20839409695,1482.44466592856,1250.98463520909
"50","BANCO SANTANDER CHILE","Santiago",1,"MONEDA 975  PISO 5",9,1,360,"SA","9_SA_1",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"51","BANCO SANTANDER CHILE","Santiago",1,"AGUSTINAS 920 P.4",10,1,60,"SA","10_SA_1",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"52","BANCO SANTANDER CHILE","Santiago",1,"MATIAS COUSI?O 199 P-9",13,1,60,"SA","13_SA_1",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"53","BANCO SANTANDER CHILE","Santiago",1,"BANDERA 140 P.2",14,1,90,"SA","14_SA_1",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"54","BANCO SANTANDER CHILE","Santiago",1,"MONEDA 971 PISO 1 DPTO SOLUCIONES",350,5,180,"SA","350_SA_5",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"55","BANCO SANTANDER CHILE","Santiago",1,"AGUSTINAS 1389 P.2",12,1,75,"SA","12_SA_1",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"56","BANCO SANTANDER CHILE","Santiago",1,"IRENE MORALES 10 PLAZA ITALIA",204,3,80,"SA","204_SA_3",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"57","BANCO SANTANDER CHILE","Santiago",1,"BANDERA 206 P 8",205,3,60,"SA","205_SA_3",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"58","BANCO SANTANDER CHILE","Providencia",2,"AV FCO BILBAO 2082 SUBT",352,5,70,"PR","352_PR_5",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"59","BANCO SANTANDER CHILE","Santiago",1,"AHUMADA 170  1ER SUBTE.",11,1,120,"SA","11_SA_1",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"60","BANCO SANTANDER CHILE","Santiago",1,"HUERFANOS 1157",275,4,90,"SA","275_SA_4",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"61","BANCO SANTANDER CHILE","Santiago",1,"HUERFANOS 1269",276,4,60,"SA","276_SA_4",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"62","BANCO SANTANDER CHILE","Santiago",1,"CURICO 38 PISO 2.",277,4,120,"SA","277_SA_4",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"63","BANCO SANTANDER CHILE","Santiago",1,"HUERFANOS 1081",120,2,55,"SA","120_SA_2",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"64","BANCO SANTANDER CHILE","Santiago",1,"MONEDA 975 P5",279,4,300,"SA","279_SA_4",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"65","BANCO SANTANDER CHILE","óu“oa",5,"IRARRAZAVAL 2709 PISO1 INTERIO",280,4,60,"NU","280_NU_4",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"66","BANCO SANTANDER CHILE","Santiago",1,"AHUMADA 52 SUBTERRANEO",119,2,60,"SA","119_SA_2",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"67","BANCO SANTANDER CHILE","Santiago",1,"AGUSTINAS 920 P.2",124,2,30,"SA","124_SA_2",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"68","BANCO SANTANDER CHILE","Las Condes",3,"EL RODEO 12850 LOCAL 33",121,2,45,"LC","121_LC_2",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"69","BANCO SANTANDER CHILE","Santiago",1,"AHUMADA 170 PISO 3",122,2,50,"SA","122_SA_2",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"70","BANCO SANTANDER CHILE","Santiago",1,"BANDERA 172 (12) PISO 5",351,5,60,"SA","351_SA_5",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"71","BANCO SANTANDER CHILE","Santiago",1,"ALAMEDA 1449 P.6",118,2,120,"SA","118_SA_2",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"72","BANCO SANTANDER CHILE","Providencia",2,"AV. PROVIDENCIA 2051",278,4,150,"PR","278_PR_4",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"73","BANCO SANTANDER CHILE","Santiago",1,"AGUSTINAS 1025 P 4",116,2,60,"SA","116_SA_2",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"74","BANCO SANTANDER CHILE","Santiago",1,"Agustinas 1025 piso 5 Crillon",117,2,140,"SA","117_SA_2",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"75","BANCO SANTANDER CHILE","Santiago",1,"BANDERA 140 P 18 ADMISION DE R",123,2,50,"SA","123_SA_2",1928.1800145811,1811.87735613347,1652.74674521177,1614.98376031526,1472.30214243089,1489.78670580663,1256.2022122095
"76","BANCOESTADO CORREDORES DE SEGUROS LTDA.","Santiago",1,"MONEDA 1140 PISO 2",15,1,240,"SA","15_SA_1",1930.77380827331,1817.55237956576,1688.66175111479,1625.85479419943,1479.69570914529,1500.04674199636,1259.37852692137
"77","BANKBOSTON, N.A.","Santiago",1,"NVA.YORK 33 ..SUCURSAL",125,2,60,"SA","125_SA_2",1938.65346201066,1827.91572615783,1689.9227922976,1632.03724474933,1482.61303137626,1500.36781792613,1259.64507379308
"78","BANKBOSTON, N.A.","Providencia",2,"ENRIQUE FOSTER SUR 20..P-6",281,4,70,"PR","281_PR_4",1938.65346201066,1827.91572615783,1689.9227922976,1632.03724474933,1482.61303137626,1500.36781792613,1259.64507379308
"79","BAYERISCHE HAUSBAN INMOBILIARIA LTDA.","Las Condes",3,"AV APOQUINDO 3721 PISO 21",282,4,90,"LC","282_LC_4",1943.93530996142,1828.46844137798,1692.89496719261,1634.58213898927,1485.10702647507,1524.71413477566,1312.63140226878
"80","BELLSOUTH INVERSIONES S.A.","Providencia",2,"MANUEL MONTT 1404 PISO 3.",127,2,80,"PR","127_PR_2",1944.68382762345,1832.9502596147,1698.45326620559,1645.07448981129,1496.08975167798,1533.11741583944,1322.07618831256
"81","BELLSOUTH INVERSIONES S.A.","Providencia",2,"MANUEL MONTT 1404 PISO 4",206,3,35,"PR","206_PR_3",1944.68382762345,1832.9502596147,1698.45326620559,1645.07448981129,1496.08975167798,1533.11741583944,1322.07618831256
"82","BELLSOUTH INVERSIONES S.A.","Providencia",2,"MANUEL MONTT 1404 PISO 4",126,2,180,"PR","126_PR_2",1944.68382762345,1832.9502596147,1698.45326620559,1645.07448981129,1496.08975167798,1533.11741583944,1322.07618831256
"83","BESTPHARMA S.A","Santiago",1,"ERASMO ESCALA 1875 PISO 2",353,5,5,"SA","353_SA_5",1950.19257374454,1840.42083045509,1700.71641223846,1663.4374585036,1502.33044854352,1542.7878942561,1325.81838970556
"84","BIOMET CHILE S.A.","Providencia",2,"POCURO 2255",354,5,30,"PR","354_PR_5",1956.0559978404,1844.88721886441,1703.80574400231,1667.43715568285,1506.7466453598,1554.59565656306,1330.36869652002
"85","BOLSA DE C.DE STGO.BOLSA DE VAL.","Santiago",1,"LA BOLSA 64 P.1",16,1,110,"SA","16_SA_1",1966.20070956516,1845.89223007838,1710.06038690231,1668.0540176504,1524.66923422851,1559.73759126144,1331.86364400864
"86","BOLSA DE C.DE STGO.BOLSA DE VAL.","Santiago",1,"LA BOLSA 64 P.3 OF.227 SERVICIOS",207,3,50,"SA","207_SA_3",1966.20070956516,1845.89223007838,1710.06038690231,1668.0540176504,1524.66923422851,1559.73759126144,1331.86364400864
"87","C.M.P.C. PAPELES S.A.","Santiago",1,"AGUSTINAS 1357 ENTREPISO",128,2,120,"SA","128_SA_2",1967.13202129591,1851.19355896273,1712.52921375582,1668.90038309708,1536.77343542535,1560.91374429437,1365.076072155
"88","CADE IDP.SERV.DE INGENIERIA LTDA","óu“oa",5,"VILLASECA 21 PISO 8",17,1,180,"NU","17_NU_1",1967.77196457776,1856.80742183203,1719.72793215823,1678.24277452829,1553.20932041377,1563.09704726472,1370.55158453304
"89","CADE IDP.SERV.DE INGENIERIA LTDA","óu“oa",5,"JOSE DOMINGO CAóAS 2640",129,2,120,"NU","129_NU_2",1967.77196457776,1856.80742183203,1719.72793215823,1678.24277452829,1553.20932041377,1563.09704726472,1370.55158453304
"90","CAJA DE C.A.F.GABRIELA MISTRAL","Santiago",1,"AV. VICUóA MACKENNA 165 UNIDAD SUBSIDIOS",283,4,180,"SA","283_SA_4",1970.76285757637,1857.72392626652,1724.30053720669,1688.13993331742,1558.74977104183,1567.23563594423,1380.74861316575
"91","CAJA DE COMPENSAC.DE LOS ANDES","Las Condes",3,"ROSARIO SUR 85",355,5,150,"LC","355_LC_5",1977.12171680557,1874.86840136399,1726.47928053981,1689.25446388603,1560.01592059877,1576.32351607676,1389.06793241367
"92","CAJA DE COMPENSAC.DE LOS ANDES","Santiago",1,"HUERFANOS 1133 PISO 2",130,2,90,"SA","130_SA_2",1977.12171680557,1874.86840136399,1726.47928053981,1689.25446388603,1560.01592059877,1576.32351607676,1389.06793241367
"93","CAMARA DE COMERCIO DE SANTIAGO","Santiago",1,"MONJITAS 392 PISO 3",356,5,150,"SA","356_SA_5",1985.65733162696,1879.23720789856,1727.48812135026,1697.6582288615,1588.81532354439,1584.23059369623,1389.61832858048
"94","CAMPVS MATER S.A.","Providencia",2,"AV. PROVIDENCIA 1760 P.14",131,2,215,"PR","131_PR_2",1988.66991646939,1879.54894854977,1732.15230313861,1698.7571394964,1594.2020743482,1592.02166978898,1400.06810159947
"95","CARABINEROS DE CHILE","Santiago",1,"AMUNATEGUI  519 SUB DIR.TRANSITO P9",18,1,90,"SA","18_SA_1",1999.51503775882,1890.17654374457,1737.71124300343,1700.73201418696,1594.66190848409,1596.02488875443,1418.16420349718
"96","CARABINEROS DE CHILE","Santiago",1,"ALAMEDA 1196 P 6 DPTO 2",208,3,90,"SA","208_SA_3",1999.51503775882,1890.17654374457,1737.71124300343,1700.73201418696,1594.66190848409,1596.02488875443,1418.16420349718
"97","CARABINEROS DE CHILE","Santiago",1,"AMUNATEGUI 519 P 11",209,3,45,"SA","209_SA_3",1999.51503775882,1890.17654374457,1737.71124300343,1700.73201418696,1594.66190848409,1596.02488875443,1418.16420349718
"98","CARABINEROS DE CHILE","Santiago",1,"AV BERNARDO OHIGGINS 1196 P 10 ADM CAJA",132,2,20,"SA","132_SA_2",1999.51503775882,1890.17654374457,1737.71124300343,1700.73201418696,1594.66190848409,1596.02488875443,1418.16420349718
"99","CASA DE ESTUDIOS P.DE VALDIVIA","Santiago",1,"AGUSTINAS 1943 PISO 1",19,1,180,"SA","19_SA_1",2002.56922745498,1896.3054190894,1744.3166106014,1700.74782826866,1602.0363346652,1599.29011590359,1444.49032884887
"100","CASA DE ESTUDIOS P.DE VALDIVIA","Santiago",1,"AGUSTINAS 1943 PISO 1",210,3,180,"SA","210_SA_3",2002.56922745498,1896.3054190894,1744.3166106014,1700.74782826866,1602.0363346652,1599.29011590359,1444.49032884887
"101","CASA DE ESTUDIOS P.DE VALDIVIA","Santiago",1,"AGUSTINAS 1943",284,4,240,"SA","284_SA_4",2002.56922745498,1896.3054190894,1744.3166106014,1700.74782826866,1602.0363346652,1599.29011590359,1444.49032884887
"102","CHILECTRA S.A.","Santiago",1,"SANTA ROSA 76 PISO 4",134,2,60,"SA","134_SA_2",2004.08089486755,1899.7728116229,1745.48279844258,1704.78360069871,1606.52101733185,1600.96947736116,1452.92394533417
"103","CHILECTRA S.A.","Santiago",1,"VICTORIA 612 PISO 2",133,2,90,"SA","133_SA_2",2004.08089486755,1899.7728116229,1745.48279844258,1704.78360069871,1606.52101733185,1600.96947736116,1452.92394533417
"104","CHILECTRA S.A.","Santiago",1,"VICTORIA 612 PISO 2",357,5,60,"SA","357_SA_5",2004.08089486755,1899.7728116229,1745.48279844258,1704.78360069871,1606.52101733185,1600.96947736116,1452.92394533417
"105","CIA. AMERICANA DE MULTISERVICIOS LTDA.","Santiago",1,"TARAPACA 934 PISO 2",285,4,60,"SA","285_SA_4",2006.39193675226,1907.9907056483,1748.00627368443,1706.35590382633,1608.31997987926,1614.81064371084,1453.14873975172
"106","CIA. CERVECERIAS UNIDAS S.A.","Santiago",1,"BANDERA 84 P9",135,2,60,"SA","135_SA_2",2010.77099254528,1910.80808072004,1753.04378575333,1707.2640359387,1609.85157884017,1615.76141377982,1471.323230772
"107","CIA. CERVECERIAS UNIDAS S.A.","Santiago",1,"BANDERA 84 PISO 8  DEPTO.TESORERIA",20,1,60,"SA","20_SA_1",2010.77099254528,1910.80808072004,1753.04378575333,1707.2640359387,1609.85157884017,1615.76141377982,1471.323230772
"108","CIA. CHILENA DE PERFORACIONES LTDA.","Las Condes",3,"BENJAMIN 2935  PISO 8  OF.802",136,2,30,"LC","136_LC_2",2011.26394801855,1911.40265527199,1754.37932264998,1708.95739699693,1617.54157518949,1616.03287701642,1481.57983550491
"109","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Providencia",2,"PEDRO DE VALDIVIA 291 PISO 13",286,4,60,"PR","286_PR_4",2015.03648219325,1920.48468256107,1767.78742911214,1709.19130342397,1619.22851699816,1616.7809951791,1490.9114911629
"110","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Las Condes",3,"LOS BRONCES PROYECTO SAN FRANC",360,5,10,"LC","360_LC_5",2015.03648219325,1920.48468256107,1767.78742911214,1709.19130342397,1619.22851699816,1616.7809951791,1490.9114911629
"111","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Providencia",2,"P.DE VALDIVIA 291 PISO 1",358,5,70,"PR","358_PR_5",2015.03648219325,1920.48468256107,1767.78742911214,1709.19130342397,1619.22851699816,1616.7809951791,1490.9114911629
"112","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Providencia",2,"AV. PEDRO DE VALDIVIA 291, 1 SUBTERRANEO",137,2,150,"PR","137_PR_2",2015.03648219325,1920.48468256107,1767.78742911214,1709.19130342397,1619.22851699816,1616.7809951791,1490.9114911629
"113","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Las Condes",3,"LOS BRONCES,GERENCIA PLANTAS,S",359,5,10,"LC","359_LC_5",2015.03648219325,1920.48468256107,1767.78742911214,1709.19130342397,1619.22851699816,1616.7809951791,1490.9114911629
