"","razonSocial","nomComuna","place","direccion","idCust","weekday","serviceTime","COD","Name","p10","p15","p20","p25","p30","p35","p40"
"12","ALIMENTOS MARINOS S.A.","Providencia",2,"MAR DEL PLATA 2111",192,3,130,"PR","192_PR_3",18396.1604834882,16197.4989035535,14588.3414142338,12986.9165321042,12459.8907031899,13075.1789288255,9733.0986643067
"13","ALIMENTOS MULTIEXPORT S.A.","Las Condes",3,"ISIDORA GOYENECHEA  3621  P 17 TORRE B",193,3,70,"LC","193_LC_3",18523.6507095227,16231.4383066954,14918.7012732489,13245.4720118392,12588.2660252584,13207.2564348781,10024.0666065403
"14","ALMACENES PARIS COMERCIAL S.A.","Las Condes",3,"AV KENNEDY 5225 P 4 PQUE ARAUC",272,4,130,"LC","272_LC_4",18547.5301502025,16317.2853387027,15092.9080709637,13683.2514292253,13116.8630592943,13486.0901931763,10066.3560242624
"15","AMCHAM CHILE","Las Condes",3,"AV. KENNEDY 5735 OF.201 TORRE PONIENTE",273,4,90,"LC","273_LC_4",18557.1267475123,16589.5504201257,15109.2281765401,14027.7241202977,13158.3986221629,13519.4029814638,10084.7700800323
"16","ARAUCO SALUD S.A.","Las Condes",3,"KENNEDY 5757 TORRE ORIENTE OF-702",343,5,45,"LC","343_LC_5",18614.6198176617,16896.4107484517,15155.8568038358,14088.7170739887,13175.2225812668,13645.2126774011,10094.0382734167
"17","ARAWAK S.A. SERVICIOS PERSONALES","Santiago",1,"PORVENIR 464",274,4,60,"SA","274_SA_4",18645.7469834341,16943.1189086042,15421.9093813905,14125.4048956665,13214.1865990931,13674.5214617153,10514.8059727114
"18","ARTEL S.A.I.C.","Santiago",1,"MATIAS COUSIóO 54 PISO 2",3,1,75,"SA","3_SA_1",18652.2785293147,17070.1442440243,15705.8939759377,14246.3702486403,13278.0477549514,13684.4068652053,10547.5916592782
"19","ASEA BROWN BOVERI S.A.","óu“oa",5,"VICUóA MACKENNA 1602 RECEPCION.",106,2,75,"NU","106_NU_2",18732.1977800103,17104.6708581331,15770.1755332699,14250.2740302004,13348.4495051105,13746.4775222701,10721.125394924
"20","ASESORES EN VIAJE S.A.","Providencia",2,"Las Bellotas # 225",107,2,30,"PR","107_PR_2",18807.4041478098,17165.8783003446,15927.738682849,14692.5810067143,13403.6461388952,13758.7340821767,10800.4667162581
"21","ASOC.FUNC.MUNICIP.DE LAS CONDES","Las Condes",3,"APOQUINDO 3076 SUBTERRANEO",344,5,120,"LC","344_LC_5",18821.2652142039,17367.6495418537,15942.2594249974,14887.2144981606,13539.1107744113,13951.8500163145,11076.8922024626
"22","ASOC.FUNC.MUNICIP.DE LAS CONDES","Las Condes",3,"AV. APOQUINDO 3076 INTERIOR  SUBTE",108,2,10,"LC","108_LC_2",18821.2652142039,17367.6495418537,15942.2594249974,14887.2144981606,13539.1107744113,13951.8500163145,11076.8922024626
"23","ASOCIADOS UNDURRAGA IMPRESORES LTDA.","Santiago",1,"ANDES 3561",345,5,150,"SA","345_SA_5",18834.1653603738,17430.0250652278,16012.4714432707,14961.3883991003,13844.2199207539,14092.7140909083,11256.7207748347
"24","AUTOMOVIL CLUB DE CHILE","Providencia",2,"ANDRES BELLO 1863 PISO 2",194,3,20,"PR","194_PR_3",18992.8627080115,17439.795863412,16141.0822166014,15014.5611300394,13931.6301980246,14160.9030906231,11437.8582087632
"25","BAEZA Y COMPAóIA LTDA.","Las Condes",3,"APOQUINDO 3001 PISO 12 OFIC. 1203",4,1,120,"LC","4_LC_1",19011.3105440812,17485.3912446072,16216.314019491,15175.6468616402,13976.8742574292,14164.5447077331,11766.1440917662
"26","BANCO CONOSUR","Santiago",1,"ALAMEDA 1980 P.4",195,3,150,"SA","195_SA_3",19055.0083906879,17597.846295646,16227.5444246,15393.7980196694,14148.1068680122,14176.9811171716,11804.2459090638
"27","BANCO DE CHILE","Santiago",1,"AGUSTINAS 733 PISO 1 BCA.ORIVADA",5,1,90,"SA","5_SA_1",19055.6632170727,17605.2935419032,16328.9974079081,15469.6282907885,14179.8443300318,14335.7482105772,11908.6158769127
"28","BANCO DE CHILE","Santiago",1,"AGUSTINAS 951, P. 5 SALA PROC.",197,3,120,"SA","197_SA_3",19055.6632170727,17605.2935419032,16328.9974079081,15469.6282907885,14179.8443300318,14335.7482105772,11908.6158769127
"29","BANCO DE CHILE","Las Condes",3,"LAS CONDES 10247 OF ESTORIL EDUARD",346,5,70,"LC","346_LC_5",19055.6632170727,17605.2935419032,16328.9974079081,15469.6282907885,14179.8443300318,14335.7482105772,11908.6158769127
"30","BANCO DE CHILE","Santiago",1,"HUERFANOS 980 P.2 COMERCIO EXTERIOR-3",199,3,80,"SA","199_SA_3",19055.6632170727,17605.2935419032,16328.9974079081,15469.6282907885,14179.8443300318,14335.7482105772,11908.6158769127
"31","BANCO DE CHILE","Providencia",2,"PROVIDENCIA 2178 ( STA. ISABEL )",196,3,45,"PR","196_PR_3",19055.6632170727,17605.2935419032,16328.9974079081,15469.6282907885,14179.8443300318,14335.7482105772,11908.6158769127
"32","BANCO DE CHILE","Santiago",1,"ESTADO 387 P.2",198,3,60,"SA","198_SA_3",19055.6632170727,17605.2935419032,16328.9974079081,15469.6282907885,14179.8443300318,14335.7482105772,11908.6158769127
"33","BANCO DE CREDITO E INVERSIONES","Santiago",1,"BANDERA 236 19-A PISO 3 CC.12282",6,1,30,"SA","6_SA_1",19097.5675308071,17723.6852010331,16401.7735445576,15642.6458496345,14202.3071863178,14373.9422389513,11984.2304338532
"34","BANCO DE CREDITO E INVERSIONES","Santiago",1,"SAN DIEGO 2043",200,3,60,"SA","200_SA_3",19097.5675308071,17723.6852010331,16401.7735445576,15642.6458496345,14202.3071863178,14373.9422389513,11984.2304338532
"35","BANCO DE CREDITO E INVERSIONES","Las Condes",3,"APOQUINDO 5710",201,3,270,"LC","201_LC_3",19097.5675308071,17723.6852010331,16401.7735445576,15642.6458496345,14202.3071863178,14373.9422389513,11984.2304338532
"36","BANCO DEL DESARROLLO","Santiago",1,"ALAMEDA 929 P5",347,5,20,"SA","347_SA_5",19110.3878403938,17729.9719961302,16414.2697055209,15679.962591905,14467.1012359612,14629.2829706194,12117.000246004
"37","BANCO DEL ESTADO DE CHILE","Santiago",1,"ALAMEDA 1111 P 8 SUBGCIA REGULARIZ.CRED.",7,1,290,"SA","7_SA_1",19142.0031064781,17788.8581399413,16502.8744972196,15725.6564624767,14475.8991130514,14630.1474812235,12240.2992994472
"38","BANCO DEL ESTADO DE CHILE","Santiago",1,"ALAMEDA 1111 P.3 COMERCIO EXT",202,3,180,"SA","202_SA_3",19142.0031064781,17788.8581399413,16502.8744972196,15725.6564624767,14475.8991130514,14630.1474812235,12240.2992994472
"39","BANCO DEL ESTADO DE CHILE","Santiago",1,"HUERFANOS 1202 P.3 OF.310",8,1,60,"SA","8_SA_1",19142.0031064781,17788.8581399413,16502.8744972196,15725.6564624767,14475.8991130514,14630.1474812235,12240.2992994472
"40","BANCO DEL ESTADO DE CHILE","Santiago",1,"MORANDE 25 PISO 3",110,2,120,"SA","110_SA_2",19142.0031064781,17788.8581399413,16502.8744972196,15725.6564624767,14475.8991130514,14630.1474812235,12240.2992994472
"41","BANCO DEL ESTADO DE CHILE","Santiago",1,"ALAMEDA 1111 P.6 GCIA. GRAL.FINANZAS",111,2,120,"SA","111_SA_2",19142.0031064781,17788.8581399413,16502.8744972196,15725.6564624767,14475.8991130514,14630.1474812235,12240.2992994472
"42","BANCO DEL ESTADO DE CHILE","Santiago",1,"NUEVA YORK 33 P 17",112,2,60,"SA","112_SA_2",19142.0031064781,17788.8581399413,16502.8744972196,15725.6564624767,14475.8991130514,14630.1474812235,12240.2992994472
"43","BANCO DEL ESTADO DE CHILE","Santiago",1,"BANDERA 861   1P",109,2,110,"SA","109_SA_2",19142.0031064781,17788.8581399413,16502.8744972196,15725.6564624767,14475.8991130514,14630.1474812235,12240.2992994472
"44","BANCO DEL ESTADO DE CHILE","Santiago",1,"ALAMEDA 1111 P 3 COMERCIO EXTE",114,2,60,"SA","114_SA_2",19142.0031064781,17788.8581399413,16502.8744972196,15725.6564624767,14475.8991130514,14630.1474812235,12240.2992994472
"45","BANCO DEL ESTADO DE CHILE","Santiago",1,"MORANDE 25 FISCALIA P.5 OF 503",113,2,60,"SA","113_SA_2",19142.0031064781,17788.8581399413,16502.8744972196,15725.6564624767,14475.8991130514,14630.1474812235,12240.2992994472
"46","BANCO DEL ESTADO DE CHILE","Santiago",1,"ALAMEDA 1111 P.2 MODULO 6",203,3,45,"SA","203_SA_3",19142.0031064781,17788.8581399413,16502.8744972196,15725.6564624767,14475.8991130514,14630.1474812235,12240.2992994472
"47","BANCO IND.Y DE COMERCIO EXTERIOR","Providencia",2,"ISIDORA GOYENECHEA 3132 P 1",115,2,90,"PR","115_PR_2",19183.440843411,18071.3230589707,16508.3661205399,15801.0026970684,14587.8247695421,14702.4559476171,12461.0669053446
"48","BANCO INTERNACIONAL","Santiago",1,"MONEDA 818 P.4 CENTRO COPIADO",348,5,60,"SA","348_SA_5",19240.8587617204,18113.4865407084,16525.971376005,15902.010151055,14600.7739494928,14833.275046536,12517.2963278355
"49","BANCO INTERNACIONAL","Santiago",1,"MONEDA 818 PISO 2 GCIA GRAL.",349,5,15,"SA","349_SA_5",19240.8587617204,18113.4865407084,16525.971376005,15902.010151055,14600.7739494928,14833.275046536,12517.2963278355
"50","BANCO SANTANDER CHILE","Santiago",1,"MONEDA 975  PISO 5",9,1,360,"SA","9_SA_1",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"51","BANCO SANTANDER CHILE","Santiago",1,"AGUSTINAS 920 P.4",10,1,60,"SA","10_SA_1",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"52","BANCO SANTANDER CHILE","Santiago",1,"MATIAS COUSI?O 199 P-9",13,1,60,"SA","13_SA_1",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"53","BANCO SANTANDER CHILE","Santiago",1,"BANDERA 140 P.2",14,1,90,"SA","14_SA_1",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"54","BANCO SANTANDER CHILE","Santiago",1,"MONEDA 971 PISO 1 DPTO SOLUCIONES",350,5,180,"SA","350_SA_5",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"55","BANCO SANTANDER CHILE","Santiago",1,"AGUSTINAS 1389 P.2",12,1,75,"SA","12_SA_1",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"56","BANCO SANTANDER CHILE","Santiago",1,"IRENE MORALES 10 PLAZA ITALIA",204,3,80,"SA","204_SA_3",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"57","BANCO SANTANDER CHILE","Santiago",1,"BANDERA 206 P 8",205,3,60,"SA","205_SA_3",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"58","BANCO SANTANDER CHILE","Providencia",2,"AV FCO BILBAO 2082 SUBT",352,5,70,"PR","352_PR_5",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"59","BANCO SANTANDER CHILE","Santiago",1,"AHUMADA 170  1ER SUBTE.",11,1,120,"SA","11_SA_1",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"60","BANCO SANTANDER CHILE","Santiago",1,"HUERFANOS 1157",275,4,90,"SA","275_SA_4",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"61","BANCO SANTANDER CHILE","Santiago",1,"HUERFANOS 1269",276,4,60,"SA","276_SA_4",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"62","BANCO SANTANDER CHILE","Santiago",1,"CURICO 38 PISO 2.",277,4,120,"SA","277_SA_4",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"63","BANCO SANTANDER CHILE","Santiago",1,"HUERFANOS 1081",120,2,55,"SA","120_SA_2",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"64","BANCO SANTANDER CHILE","Santiago",1,"MONEDA 975 P5",279,4,300,"SA","279_SA_4",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"65","BANCO SANTANDER CHILE","óu“oa",5,"IRARRAZAVAL 2709 PISO1 INTERIO",280,4,60,"NU","280_NU_4",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"66","BANCO SANTANDER CHILE","Santiago",1,"AHUMADA 52 SUBTERRANEO",119,2,60,"SA","119_SA_2",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"67","BANCO SANTANDER CHILE","Santiago",1,"AGUSTINAS 920 P.2",124,2,30,"SA","124_SA_2",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"68","BANCO SANTANDER CHILE","Las Condes",3,"EL RODEO 12850 LOCAL 33",121,2,45,"LC","121_LC_2",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"69","BANCO SANTANDER CHILE","Santiago",1,"AHUMADA 170 PISO 3",122,2,50,"SA","122_SA_2",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"70","BANCO SANTANDER CHILE","Santiago",1,"BANDERA 172 (12) PISO 5",351,5,60,"SA","351_SA_5",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"71","BANCO SANTANDER CHILE","Santiago",1,"ALAMEDA 1449 P.6",118,2,120,"SA","118_SA_2",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"72","BANCO SANTANDER CHILE","Providencia",2,"AV. PROVIDENCIA 2051",278,4,150,"PR","278_PR_4",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"73","BANCO SANTANDER CHILE","Santiago",1,"AGUSTINAS 1025 P 4",116,2,60,"SA","116_SA_2",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"74","BANCO SANTANDER CHILE","Santiago",1,"Agustinas 1025 piso 5 Crillon",117,2,140,"SA","117_SA_2",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"75","BANCO SANTANDER CHILE","Santiago",1,"BANDERA 140 P 18 ADMISION DE R",123,2,50,"SA","123_SA_2",19293.2830161322,18129.5638156476,16537.3100375639,16159.4552990888,14731.789409895,14906.7391692902,12569.5031700215
"76","BANCOESTADO CORREDORES DE SEGUROS LTDA.","Santiago",1,"MONEDA 1140 PISO 2",15,1,240,"SA","15_SA_1",19319.2363998469,18186.3478463784,16896.673980854,16268.2303780852,14805.7691078697,15009.400632674,12601.2852330141
"77","BANKBOSTON, N.A.","Santiago",1,"NVA.YORK 33 ..SUCURSAL",125,2,60,"SA","125_SA_2",19398.07986284,18290.0430290289,16909.2919025474,16330.0917018674,14834.959703678,15012.6133040718,12603.952289095
"78","BANKBOSTON, N.A.","Providencia",2,"ENRIQUE FOSTER SUR 20..P-6",281,4,70,"PR","281_PR_4",19398.07986284,18290.0430290289,16909.2919025474,16330.0917018674,14834.959703678,15012.6133040718,12603.952289095
"79","BAYERISCHE HAUSBAN INMOBILIARIA LTDA.","Las Condes",3,"AV APOQUINDO 3721 PISO 21",282,4,90,"LC","282_LC_4",19450.9297972817,18295.5734728096,16939.0313516597,16355.555799849,14859.9145071292,15256.2214619338,13134.1311227811
"80","BELLSOUTH INVERSIONES S.A.","Providencia",2,"MANUEL MONTT 1404 PISO 3.",127,2,80,"PR","127_PR_2",19458.4194315413,18340.4183457021,16994.6474430696,16460.5417930565,14969.8071644671,15340.3043165437,13228.6352296547
"81","BELLSOUTH INVERSIONES S.A.","Providencia",2,"MANUEL MONTT 1404 PISO 4",206,3,35,"PR","206_PR_3",19458.4194315413,18340.4183457021,16994.6474430696,16460.5417930565,14969.8071644671,15340.3043165437,13228.6352296547
"82","BELLSOUTH INVERSIONES S.A.","Providencia",2,"MANUEL MONTT 1404 PISO 4",126,2,180,"PR","126_PR_2",19458.4194315413,18340.4183457021,16994.6474430696,16460.5417930565,14969.8071644671,15340.3043165437,13228.6352296547
"83","BESTPHARMA S.A","Santiago",1,"ERASMO ESCALA 1875 PISO 2",353,5,5,"SA","353_SA_5",19513.5396989306,18415.1685435187,17017.2923810883,16644.2808367755,15032.2512982794,15437.0666912094,13266.0795294775
"84","BIOMET CHILE S.A.","Providencia",2,"POCURO 2255",354,5,30,"PR","354_PR_5",19572.2088582775,18459.8590262481,17048.204096592,16684.3016279228,15076.439566173,15555.2146329227,13311.6096960169
"85","BOLSA DE C.DE STGO.BOLSA DE VAL.","Santiago",1,"LA BOLSA 64 P.1",16,1,110,"SA","16_SA_1",19673.7163902209,18469.9151235207,17110.7877738016,16690.47392119,15255.7721890665,15606.6646016166,13326.5680737482
"86","BOLSA DE C.DE STGO.BOLSA DE VAL.","Santiago",1,"LA BOLSA 64 P.3 OF.227 SERVICIOS",207,3,50,"SA","207_SA_3",19673.7163902209,18469.9151235207,17110.7877738016,16690.47392119,15255.7721890665,15606.6646016166,13326.5680737482
"87","C.M.P.C. PAPELES S.A.","Santiago",1,"AGUSTINAS 1357 ENTREPISO",128,2,120,"SA","128_SA_2",19683.0350537595,18522.9599833127,17135.4907449155,16698.9426160081,15376.886285058,15618.4331362778,13658.8901448386
"88","CADE IDP.SERV.DE INGENIERIA LTDA","óu“oa",5,"VILLASECA 21 PISO 8",17,1,180,"NU","17_NU_1",19689.4382976255,18579.1320441847,17207.5207993922,16792.4221669665,15541.3430153966,15640.2791681826,13713.6778768808
"89","CADE IDP.SERV.DE INGENIERIA LTDA","óu“oa",5,"JOSE DOMINGO CAóAS 2640",129,2,120,"NU","129_NU_2",19689.4382976255,18579.1320441847,17207.5207993922,16792.4221669665,15541.3430153966,15640.2791681826,13713.6778768808
"90","CAJA DE C.A.F.GABRIELA MISTRAL","Santiago",1,"AV. VICUóA MACKENNA 165 UNIDAD SUBSIDIOS",283,4,180,"SA","283_SA_4",19719.3650392455,18588.3025465789,17253.2740810639,16891.4526953042,15596.780516665,15681.6897014717,13815.708889466
"91","CAJA DE COMPENSAC.DE LOS ANDES","Las Condes",3,"ROSARIO SUR 85",355,5,150,"LC","355_LC_5",19782.9915003855,18759.8493978672,17275.0744894425,16902.6046383426,15609.4495525216,15772.6226237547,13898.9516259004
"92","CAJA DE COMPENSAC.DE LOS ANDES","Santiago",1,"HUERFANOS 1133 PISO 2",130,2,90,"SA","130_SA_2",19782.9915003855,18759.8493978672,17275.0744894425,16902.6046383426,15609.4495525216,15772.6226237547,13898.9516259004
"93","CAMARA DE COMERCIO DE SANTIAGO","Santiago",1,"MONJITAS 392 PISO 3",356,5,150,"SA","356_SA_5",19868.3984806573,18803.5634807209,17285.1689054862,16986.6923349512,15897.6150907617,15851.7404888863,13904.458865337
"94","CAMPVS MATER S.A.","Providencia",2,"AV. PROVIDENCIA 1760 P.14",131,2,215,"PR","131_PR_2",19898.5422698966,18806.6827437388,17331.8384999229,16997.6879856312,15951.5146784607,15929.697647928,14009.0188269511
"95","CARABINEROS DE CHILE","Santiago",1,"AMUNATEGUI  519 SUB DIR.TRANSITO P9",18,1,90,"SA","18_SA_1",20007.0580686286,18913.0219860936,17387.4610036676,17017.4484934874,15956.115758265,15969.7536779106,14190.087613455
"96","CARABINEROS DE CHILE","Santiago",1,"ALAMEDA 1196 P 6 DPTO 2",208,3,90,"SA","208_SA_3",20007.0580686286,18913.0219860936,17387.4610036676,17017.4484934874,15956.115758265,15969.7536779106,14190.087613455
"97","CARABINEROS DE CHILE","Santiago",1,"AMUNATEGUI 519 P 11",209,3,45,"SA","209_SA_3",20007.0580686286,18913.0219860936,17387.4610036676,17017.4484934874,15956.115758265,15969.7536779106,14190.087613455
"98","CARABINEROS DE CHILE","Santiago",1,"AV BERNARDO OHIGGINS 1196 P 10 ADM CAJA",132,2,20,"SA","132_SA_2",20007.0580686286,18913.0219860936,17387.4610036676,17017.4484934874,15956.115758265,15969.7536779106,14190.087613455
"99","CASA DE ESTUDIOS P.DE VALDIVIA","Santiago",1,"AGUSTINAS 1943 PISO 1",19,1,180,"SA","19_SA_1",20037.6181541742,18974.3472387693,17453.5540165241,17017.6067284818,16029.9039369194,16002.4253947753,14453.5056466716
"100","CASA DE ESTUDIOS P.DE VALDIVIA","Santiago",1,"AGUSTINAS 1943 PISO 1",210,3,180,"SA","210_SA_3",20037.6181541742,18974.3472387693,17453.5540165241,17017.6067284818,16029.9039369194,16002.4253947753,14453.5056466716
"101","CASA DE ESTUDIOS P.DE VALDIVIA","Santiago",1,"AGUSTINAS 1943",284,4,240,"SA","284_SA_4",20037.6181541742,18974.3472387693,17453.5540165241,17017.6067284818,16029.9039369194,16002.4253947753,14453.5056466716
"102","CHILECTRA S.A.","Santiago",1,"SANTA ROSA 76 PISO 4",134,2,60,"SA","134_SA_2",20052.7438307172,19009.0418134309,17465.2228399222,17057.9884869758,16074.7774711698,16019.2290104348,14537.8920361528
"103","CHILECTRA S.A.","Santiago",1,"VICTORIA 612 PISO 2",133,2,90,"SA","133_SA_2",20052.7438307172,19009.0418134309,17465.2228399222,17057.9884869758,16074.7774711698,16019.2290104348,14537.8920361528
"104","CHILECTRA S.A.","Santiago",1,"VICTORIA 612 PISO 2",357,5,60,"SA","357_SA_5",20052.7438307172,19009.0418134309,17465.2228399222,17057.9884869758,16074.7774711698,16019.2290104348,14537.8920361528
"105","CIA. AMERICANA DE MULTISERVICIOS LTDA.","Santiago",1,"TARAPACA 934 PISO 2",285,4,60,"SA","285_SA_4",20075.8680124878,19091.2696936234,17490.4726203664,17073.7208817724,16092.7778099868,16157.7231020852,14540.1413190442
"106","CIA. CERVECERIAS UNIDAS S.A.","Santiago",1,"BANDERA 84 P9",135,2,60,"SA","135_SA_2",20119.6846489633,19119.4602226252,17540.8777408985,17082.8076110858,16108.1029207112,16167.236464886,14721.9944636037
"107","CIA. CERVECERIAS UNIDAS S.A.","Santiago",1,"BANDERA 84 PISO 8  DEPTO.TESORERIA",20,1,60,"SA","20_SA_1",20119.6846489633,19119.4602226252,17540.8777408985,17082.8076110858,16108.1029207112,16167.236464886,14721.9944636037
"108","CIA. CHILENA DE PERFORACIONES LTDA.","Las Condes",3,"BENJAMIN 2935  PISO 8  OF.802",136,2,30,"LC","136_LC_2",20124.6171393886,19125.4095090083,17554.2410633739,17099.7513061235,16185.0486803594,16169.9527138942,14824.621591984
"109","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Providencia",2,"PEDRO DE VALDIVIA 291 PISO 13",286,4,60,"PR","286_PR_4",20162.364947669,19216.2838680015,17688.401977152,17102.0917633744,16201.9281446731,16177.4383507813,14917.9937212754
"110","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Las Condes",3,"LOS BRONCES PROYECTO SAN FRANC",360,5,10,"LC","360_LC_5",20162.364947669,19216.2838680015,17688.401977152,17102.0917633744,16201.9281446731,16177.4383507813,14917.9937212754
"111","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Providencia",2,"P.DE VALDIVIA 291 PISO 1",358,5,70,"PR","358_PR_5",20162.364947669,19216.2838680015,17688.401977152,17102.0917633744,16201.9281446731,16177.4383507813,14917.9937212754
"112","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Providencia",2,"AV. PEDRO DE VALDIVIA 291, 1 SUBTERRANEO",137,2,150,"PR","137_PR_2",20162.364947669,19216.2838680015,17688.401977152,17102.0917633744,16201.9281446731,16177.4383507813,14917.9937212754
"113","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Las Condes",3,"LOS BRONCES,GERENCIA PLANTAS,S",359,5,10,"LC","359_LC_5",20162.364947669,19216.2838680015,17688.401977152,17102.0917633744,16201.9281446731,16177.4383507813,14917.9937212754
"114","CIA. MINERA DISPUTADA LAS CONDES LTDA.","Santiago",1,"PEDRO DE VALDIVIA 291 1 SUB",361,5,10,"SA","361_SA_5",20162.364947669,19216.2838680015,17688.401977152,17102.0917633744,16201.9281446731,16177.4383507813,14917.9937212754
