razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime,COD,Name,penalty,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
ARTEL S.A.I.C.,Santiago,1,MATIAS COUSI—O 54 PISO 2,3,1,75,SA,3_SA_1,32400,29921,27791,25303,23251,20494,8477,5543,3_SA_1,1,1,29921,75
ASEA BROWN BOVERI S.A.,—uÒoa,5,VICU—A MACKENNA 1602 RECEPCION.,106,2,75,NU,106_NU_2,32400,29962,27859,25438,23356,21036,8680,5619,106_NU_2,2,5,29962,75
ASESORES EN VIAJE S.A.,Providencia,2,Las Bellotas # 225,107,2,30,PR,107_PR_2,32400,29993,27941,25598,23379,21497,9380,5622,107_PR_2,2,2,29993,30
ASOC.FUNC.MUNICIP.DE LAS CONDES,Las Condes,3,APOQUINDO 3076 SUBTERRANEO,344,5,120,LC,344_LC_5,32400,29997,27982,25598,23480,22063,10061,6246,344_LC_5,5,3,29997,120
ASOC.FUNC.MUNICIP.DE LAS CONDES,Las Condes,3,AV. APOQUINDO 3076 INTERIOR  SUBTE,108,2,10,LC,108_LC_2,32400,29997,27982,25598,23480,22063,10061,6246,108_LC_2,2,3,29997,10
ASOCIADOS UNDURRAGA IMPRESORES LTDA.,Santiago,1,ANDES 3561,345,5,150,SA,345_SA_5,32400,29998,28102,25838,23825,22124,10217,6668,345_SA_5,5,1,29998,150
AUTOMOVIL CLUB DE CHILE,Providencia,2,ANDRES BELLO 1863 PISO 2,194,3,20,PR,194_PR_3,32400,30147,28123,26052,24022,22225,10829,6725,194_PR_3,3,2,30147,20
BAEZA Y COMPA—IA LTDA.,Las Condes,3,APOQUINDO 3001 PISO 12 OFIC. 1203,4,1,120,LC,4_LC_1,32400,30190,28211,26187,24025,22727,10939,6766,4_LC_1,1,3,30190,120
BANCO CONOSUR,Santiago,1,ALAMEDA 1980 P.4,195,3,150,SA,195_SA_3,32400,30195,28251,26327,24278,23083,11591,6828,195_SA_3,3,1,30195,150
BANCO DE CHILE,Santiago,1,AGUSTINAS 733 PISO 1 BCA.ORIVADA,5,1,90,SA,5_SA_1,32400,30236,28290,26338,24415,23175,11708,7970,5_SA_1,1,1,30236,90
BANCO DE CHILE,Santiago,1,"AGUSTINAS 951, P. 5 SALA PROC.",197,3,120,SA,197_SA_3,32400,30236,28290,26338,24415,23175,11708,7970,197_SA_3,3,1,30236,120
BANCO DE CHILE,Las Condes,3,LAS CONDES 10247 OF ESTORIL EDUARD,346,5,70,LC,346_LC_5,32400,30236,28290,26338,24415,23175,11708,7970,346_LC_5,5,3,30236,70
BANCO DE CHILE,Santiago,1,HUERFANOS 980 P.2 COMERCIO EXTERIOR-3,199,3,80,SA,199_SA_3,32400,30236,28290,26338,24415,23175,11708,7970,199_SA_3,3,1,30236,80
BANCO DE CHILE,Providencia,2,PROVIDENCIA 2178 ( STA. ISABEL ),196,3,45,PR,196_PR_3,32400,30236,28290,26338,24415,23175,11708,7970,196_PR_3,3,2,30236,45
BANCO DE CHILE,Santiago,1,ESTADO 387 P.2,198,3,60,SA,198_SA_3,32400,30236,28290,26338,24415,23175,11708,7970,198_SA_3,3,1,30236,60
BANCO DE CREDITO E INVERSIONES,Santiago,1,BANDERA 236 19-A PISO 3 CC.12282,6,1,30,SA,6_SA_1,32400,30244,28382,26378,24519,23382,14433,8006,6_SA_1,1,1,30244,30
BANCO DE CREDITO E INVERSIONES,Santiago,1,SAN DIEGO 2043,200,3,60,SA,200_SA_3,32400,30244,28382,26378,24519,23382,14433,8006,200_SA_3,3,1,30244,60
BANCO DE CREDITO E INVERSIONES,Las Condes,3,APOQUINDO 5710,201,3,270,LC,201_LC_3,32400,30244,28382,26378,24519,23382,14433,8006,201_LC_3,3,3,30244,270
BANCO DEL DESARROLLO,Santiago,1,ALAMEDA 929 P5,347,5,20,SA,347_SA_5,32400,30251,28535,26465,24579,23482,14616,8048,347_SA_5,5,1,30251,20
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P 8 SUBGCIA REGULARIZ.CRED.,7,1,290,SA,7_SA_1,32400,30261,28595,26500,24612,23727,14646,8276,7_SA_1,1,1,30261,290
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.3 COMERCIO EXT,202,3,180,SA,202_SA_3,32400,30261,28595,26500,24612,23727,14646,8276,202_SA_3,3,1,30261,180
BANCO DEL ESTADO DE CHILE,Santiago,1,HUERFANOS 1202 P.3 OF.310,8,1,60,SA,8_SA_1,32400,30261,28595,26500,24612,23727,14646,8276,8_SA_1,1,1,30261,60
BANCO DEL ESTADO DE CHILE,Santiago,1,MORANDE 25 PISO 3,110,2,120,SA,110_SA_2,32400,30261,28595,26500,24612,23727,14646,8276,110_SA_2,2,1,30261,120
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.6 GCIA. GRAL.FINANZAS,111,2,120,SA,111_SA_2,32400,30261,28595,26500,24612,23727,14646,8276,111_SA_2,2,1,30261,120
BANCO DEL ESTADO DE CHILE,Santiago,1,NUEVA YORK 33 P 17,112,2,60,SA,112_SA_2,32400,30261,28595,26500,24612,23727,14646,8276,112_SA_2,2,1,30261,60
BANCO DEL ESTADO DE CHILE,Santiago,1,BANDERA 861   1P,109,2,110,SA,109_SA_2,32400,30261,28595,26500,24612,23727,14646,8276,109_SA_2,2,1,30261,110
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P 3 COMERCIO EXTE,114,2,60,SA,114_SA_2,32400,30261,28595,26500,24612,23727,14646,8276,114_SA_2,2,1,30261,60
BANCO DEL ESTADO DE CHILE,Santiago,1,MORANDE 25 FISCALIA P.5 OF 503,113,2,60,SA,113_SA_2,32400,30261,28595,26500,24612,23727,14646,8276,113_SA_2,2,1,30261,60
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.2 MODULO 6,203,3,45,SA,203_SA_3,32400,30261,28595,26500,24612,23727,14646,8276,203_SA_3,3,1,30261,45
BANCO IND.Y DE COMERCIO EXTERIOR,Providencia,2,ISIDORA GOYENECHEA 3132 P 1,115,2,90,PR,115_PR_2,32400,30272,28604,26754,24757,23998,14910,8331,115_PR_2,2,2,30272,90
BANCO INTERNACIONAL,Santiago,1,MONEDA 818 P.4 CENTRO COPIADO,348,5,60,SA,348_SA_5,32400,30291,28689,26901,24793,24139,14920,8457,348_SA_5,5,1,30291,60
BANCO INTERNACIONAL,Santiago,1,MONEDA 818 PISO 2 GCIA GRAL.,349,5,15,SA,349_SA_5,32400,30291,28689,26901,24793,24139,14920,8457,349_SA_5,5,1,30291,15
BANCO SANTANDER CHILE,Santiago,1,MONEDA 975  PISO 5,9,1,360,SA,9_SA_1,32400,30355,28852,26914,24947,24225,15509,8567,9_SA_1,1,1,30355,360
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 920 P.4,10,1,60,SA,10_SA_1,32400,30355,28852,26914,24947,24225,15509,8567,10_SA_1,1,1,30355,60
BANCO SANTANDER CHILE,Santiago,1,MATIAS COUSI?O 199 P-9,13,1,60,SA,13_SA_1,32400,30355,28852,26914,24947,24225,15509,8567,13_SA_1,1,1,30355,60
BANCO SANTANDER CHILE,Santiago,1,BANDERA 140 P.2,14,1,90,SA,14_SA_1,32400,30355,28852,26914,24947,24225,15509,8567,14_SA_1,1,1,30355,90
BANCO SANTANDER CHILE,Santiago,1,MONEDA 971 PISO 1 DPTO SOLUCIONES,350,5,180,SA,350_SA_5,32400,30355,28852,26914,24947,24225,15509,8567,350_SA_5,5,1,30355,180
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 1389 P.2,12,1,75,SA,12_SA_1,32400,30355,28852,26914,24947,24225,15509,8567,12_SA_1,1,1,30355,75
BANCO SANTANDER CHILE,Santiago,1,IRENE MORALES 10 PLAZA ITALIA,204,3,80,SA,204_SA_3,32400,30355,28852,26914,24947,24225,15509,8567,204_SA_3,3,1,30355,80
BANCO SANTANDER CHILE,Santiago,1,BANDERA 206 P 8,205,3,60,SA,205_SA_3,32400,30355,28852,26914,24947,24225,15509,8567,205_SA_3,3,1,30355,60
BANCO SANTANDER CHILE,Providencia,2,AV FCO BILBAO 2082 SUBT,352,5,70,PR,352_PR_5,32400,30355,28852,26914,24947,24225,15509,8567,352_PR_5,5,2,30355,70
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 170  1ER SUBTE.,11,1,120,SA,11_SA_1,32400,30355,28852,26914,24947,24225,15509,8567,11_SA_1,1,1,30355,120
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1157,275,4,90,SA,275_SA_4,32400,30355,28852,26914,24947,24225,15509,8567,275_SA_4,4,1,30355,90
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1269,276,4,60,SA,276_SA_4,32400,30355,28852,26914,24947,24225,15509,8567,276_SA_4,4,1,30355,60
BANCO SANTANDER CHILE,Santiago,1,CURICO 38 PISO 2.,277,4,120,SA,277_SA_4,32400,30355,28852,26914,24947,24225,15509,8567,277_SA_4,4,1,30355,120
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1081,120,2,55,SA,120_SA_2,32400,30355,28852,26914,24947,24225,15509,8567,120_SA_2,2,1,30355,55
BANCO SANTANDER CHILE,Santiago,1,MONEDA 975 P5,279,4,300,SA,279_SA_4,32400,30355,28852,26914,24947,24225,15509,8567,279_SA_4,4,1,30355,300
BANCO SANTANDER CHILE,—uÒoa,5,IRARRAZAVAL 2709 PISO1 INTERIO,280,4,60,NU,280_NU_4,32400,30355,28852,26914,24947,24225,15509,8567,280_NU_4,4,5,30355,60
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 52 SUBTERRANEO,119,2,60,SA,119_SA_2,32400,30355,28852,26914,24947,24225,15509,8567,119_SA_2,2,1,30355,60
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 920 P.2,124,2,30,SA,124_SA_2,32400,30355,28852,26914,24947,24225,15509,8567,124_SA_2,2,1,30355,30
BANCO SANTANDER CHILE,Las Condes,3,EL RODEO 12850 LOCAL 33,121,2,45,LC,121_LC_2,32400,30355,28852,26914,24947,24225,15509,8567,121_LC_2,2,3,30355,45
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 170 PISO 3,122,2,50,SA,122_SA_2,32400,30355,28852,26914,24947,24225,15509,8567,122_SA_2,2,1,30355,50
BANCO SANTANDER CHILE,Santiago,1,BANDERA 172 (12) PISO 5,351,5,60,SA,351_SA_5,32400,30355,28852,26914,24947,24225,15509,8567,351_SA_5,5,1,30355,60
BANCO SANTANDER CHILE,Santiago,1,ALAMEDA 1449 P.6,118,2,120,SA,118_SA_2,32400,30355,28852,26914,24947,24225,15509,8567,118_SA_2,2,1,30355,120
BANCO SANTANDER CHILE,Providencia,2,AV. PROVIDENCIA 2051,278,4,150,PR,278_PR_4,32400,30355,28852,26914,24947,24225,15509,8567,278_PR_4,4,2,30355,150
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 1025 P 4,116,2,60,SA,116_SA_2,32400,30355,28852,26914,24947,24225,15509,8567,116_SA_2,2,1,30355,60
BANCO SANTANDER CHILE,Santiago,1,Agustinas 1025 piso 5 Crillon,117,2,140,SA,117_SA_2,32400,30355,28852,26914,24947,24225,15509,8567,117_SA_2,2,1,30355,140
BANCO SANTANDER CHILE,Santiago,1,BANDERA 140 P 18 ADMISION DE R,123,2,50,SA,123_SA_2,32400,30355,28852,26914,24947,24225,15509,8567,123_SA_2,2,1,30355,50
BANCOESTADO CORREDORES DE SEGUROS LTDA.,Santiago,1,MONEDA 1140 PISO 2,15,1,240,SA,15_SA_1,32400,30400,28857,26919,25056,24349,15757,8603,15_SA_1,1,1,30400,240
"BANKBOSTON, N.A.",Santiago,1,NVA.YORK 33 ..SUCURSAL,125,2,60,SA,125_SA_2,32400,30459,28965,26944,25180,24377,15833,8982,125_SA_2,2,1,30459,60
"BANKBOSTON, N.A.",Providencia,2,ENRIQUE FOSTER SUR 20..P-6,281,4,70,PR,281_PR_4,32400,30459,28965,26944,25180,24377,15833,8982,281_PR_4,4,2,30459,70
BAYERISCHE HAUSBAN INMOBILIARIA LTDA.,Las Condes,3,AV APOQUINDO 3721 PISO 21,282,4,90,LC,282_LC_4,32400,30513,29030,27058,25227,24395,16135,9060,282_LC_4,4,3,30513,90
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 3.,127,2,80,PR,127_PR_2,32400,30560,29040,27075,25254,24738,16252,9883,127_PR_2,2,2,30560,80
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 4,206,3,35,PR,206_PR_3,32400,30560,29040,27075,25254,24738,16252,9883,206_PR_3,3,2,30560,35
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 4,126,2,180,PR,126_PR_2,32400,30560,29040,27075,25254,24738,16252,9883,126_PR_2,2,2,30560,180
BESTPHARMA S.A,Santiago,1,ERASMO ESCALA 1875 PISO 2,353,5,5,SA,353_SA_5,32400,30609,29043,27186,25371,24806,16353,10087,353_SA_5,5,1,30609,5
BIOMET CHILE S.A.,Providencia,2,POCURO 2255,354,5,30,PR,354_PR_5,32400,30709,29104,27187,25441,24862,16383,10558,354_PR_5,5,2,30709,30
BOLSA DE C.DE STGO.BOLSA DE VAL.,Santiago,1,LA BOLSA 64 P.1,16,1,110,SA,16_SA_1,32400,30763,29264,27215,25596,24882,16776,10837,16_SA_1,1,1,30763,110
BOLSA DE C.DE STGO.BOLSA DE VAL.,Santiago,1,LA BOLSA 64 P.3 OF.227 SERVICIOS,207,3,50,SA,207_SA_3,32400,30763,29264,27215,25596,24882,16776,10837,207_SA_3,3,1,30763,50
C.M.P.C. PAPELES S.A.,Santiago,1,AGUSTINAS 1357 ENTREPISO,128,2,120,SA,128_SA_2,32400,30770,29322,27216,25610,24933,16850,10888,128_SA_2,2,1,30770,120
CADE IDP.SERV.DE INGENIERIA LTDA,—uÒoa,5,VILLASECA 21 PISO 8,17,1,180,NU,17_NU_1,32400,30826,29401,27239,26049,25011,16855,11270,17_NU_1,1,5,30826,180
CADE IDP.SERV.DE INGENIERIA LTDA,—uÒoa,5,JOSE DOMINGO CA—AS 2640,129,2,120,NU,129_NU_2,32400,30826,29401,27239,26049,25011,16855,11270,129_NU_2,2,5,30826,120
CAJA DE C.A.F.GABRIELA MISTRAL,Santiago,1,AV. VICU—A MACKENNA 165 UNIDAD SUBSIDIOS,283,4,180,SA,283_SA_4,32400,30867,29461,27352,26250,25186,17298,11613,283_SA_4,4,1,30867,180
CAJA DE COMPENSAC.DE LOS ANDES,Las Condes,3,ROSARIO SUR 85,355,5,150,LC,355_LC_5,32400,30903,29560,27359,26253,25271,17606,11749,355_LC_5,5,3,30903,150
CAJA DE COMPENSAC.DE LOS ANDES,Santiago,1,HUERFANOS 1133 PISO 2,130,2,90,SA,130_SA_2,32400,30903,29560,27359,26253,25271,17606,11749,130_SA_2,2,1,30903,90
CAMARA DE COMERCIO DE SANTIAGO,Santiago,1,MONJITAS 392 PISO 3,356,5,150,SA,356_SA_5,32400,30921,29572,27429,26292,25335,17663,12301,356_SA_5,5,1,30921,150
CAMPVS MATER S.A.,Providencia,2,AV. PROVIDENCIA 1760 P.14,131,2,215,PR,131_PR_2,32400,30944,29609,27575,26296,25354,17892,12324,131_PR_2,2,2,30944,215
CARABINEROS DE CHILE,Santiago,1,AMUNATEGUI  519 SUB DIR.TRANSITO P9,18,1,90,SA,18_SA_1,32400,30965,29649,27585,26343,25411,18110,12731,18_SA_1,1,1,30965,90
CARABINEROS DE CHILE,Santiago,1,ALAMEDA 1196 P 6 DPTO 2,208,3,90,SA,208_SA_3,32400,30965,29649,27585,26343,25411,18110,12731,208_SA_3,3,1,30965,90
CARABINEROS DE CHILE,Santiago,1,AMUNATEGUI 519 P 11,209,3,45,SA,209_SA_3,32400,30965,29649,27585,26343,25411,18110,12731,209_SA_3,3,1,30965,45
CARABINEROS DE CHILE,Santiago,1,AV BERNARDO OHIGGINS 1196 P 10 ADM CAJA,132,2,20,SA,132_SA_2,32400,30965,29649,27585,26343,25411,18110,12731,132_SA_2,2,1,30965,20
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943 PISO 1,19,1,180,SA,19_SA_1,32400,30970,29672,27690,26393,25546,18207,13261,19_SA_1,1,1,30970,180
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943 PISO 1,210,3,180,SA,210_SA_3,32400,30970,29672,27690,26393,25546,18207,13261,210_SA_3,3,1,30970,180
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943,284,4,240,SA,284_SA_4,32400,30970,29672,27690,26393,25546,18207,13261,284_SA_4,4,1,30970,240
CHILECTRA S.A.,Santiago,1,SANTA ROSA 76 PISO 4,134,2,60,SA,134_SA_2,32400,30997,29677,27785,26419,25620,18288,13461,134_SA_2,2,1,30997,60
CHILECTRA S.A.,Santiago,1,VICTORIA 612 PISO 2,133,2,90,SA,133_SA_2,32400,30997,29677,27785,26419,25620,18288,13461,133_SA_2,2,1,30997,90
CHILECTRA S.A.,Santiago,1,VICTORIA 612 PISO 2,357,5,60,SA,357_SA_5,32400,30997,29677,27785,26419,25620,18288,13461,357_SA_5,5,1,30997,60
CIA. AMERICANA DE MULTISERVICIOS LTDA.,Santiago,1,TARAPACA 934 PISO 2,285,4,60,SA,285_SA_4,32400,31051,29702,27835,26615,25668,18564,13471,285_SA_4,4,1,31051,60
CIA. CERVECERIAS UNIDAS S.A.,Santiago,1,BANDERA 84 P9,135,2,60,SA,135_SA_2,32400,31064,29720,27859,26740,25768,18643,14025,135_SA_2,2,1,31064,60
CIA. CERVECERIAS UNIDAS S.A.,Santiago,1,BANDERA 84 PISO 8  DEPTO.TESORERIA,20,1,60,SA,20_SA_1,32400,31064,29720,27859,26740,25768,18643,14025,20_SA_1,1,1,31064,60
CIA. CHILENA DE PERFORACIONES LTDA.,Las Condes,3,BENJAMIN 2935  PISO 8  OF.802,136,2,30,LC,136_LC_2,32400,31121,29747,27898,26741,25871,18987,14180,136_LC_2,2,3,31121,30
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,PEDRO DE VALDIVIA 291 PISO 13,286,4,60,PR,286_PR_4,32400,31124,29769,28038,26793,26166,19141,14432,286_PR_4,4,2,31124,60
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Las Condes,3,LOS BRONCES PROYECTO SAN FRANC,360,5,10,LC,360_LC_5,32400,31124,29769,28038,26793,26166,19141,14432,360_LC_5,5,3,31124,10
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,P.DE VALDIVIA 291 PISO 1,358,5,70,PR,358_PR_5,32400,31124,29769,28038,26793,26166,19141,14432,358_PR_5,5,2,31124,70
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,"AV. PEDRO DE VALDIVIA 291, 1 SUBTERRANEO",137,2,150,PR,137_PR_2,32400,31124,29769,28038,26793,26166,19141,14432,137_PR_2,2,2,31124,150
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Las Condes,3,"LOS BRONCES,GERENCIA PLANTAS,S",359,5,10,LC,359_LC_5,32400,31124,29769,28038,26793,26166,19141,14432,359_LC_5,5,3,31124,10
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Santiago,1,PEDRO DE VALDIVIA 291 1 SUB,361,5,10,SA,361_SA_5,32400,31124,29769,28038,26793,26166,19141,14432,361_SA_5,5,1,31124,10
CIA.ELECTROMETALURGICA S.A.,—uÒoa,5,AV. V.MACKENNA 1570 GCIA.. GEN,21,1,90,NU,21_NU_1,32400,31128,29784,28202,26826,26169,19354,14807,21_NU_1,1,5,31128,90
CIA.ELECTROMETALURGICA S.A.,—uÒoa,5,AVDA VICU?A MACKENNA 1570 G COMERCIAL,211,3,40,NU,211_NU_3,32400,31128,29784,28202,26826,26169,19354,14807,211_NU_3,3,5,31128,40
CIENTOCHENTA GRADOS S.A.,Providencia,2,NVA.LOS LEONES 07 PISO 10,362,5,240,PR,362_PR_5,32400,31128,29867,28328,27000,26234,19366,14957,362_PR_5,5,2,31128,240
CITIBANK N.A.,Providencia,2,AV PROVIDENCIA 655,22,1,60,PR,22_PR_1,32400,31129,29974,28461,27195,26320,19512,15112,22_PR_1,1,2,31129,60
CITIBANK N.A.,Las Condes,3,AV EL  BOSQUE  0500  P. 3,213,3,90,LC,213_LC_3,32400,31129,29974,28461,27195,26320,19512,15112,213_LC_3,3,3,31129,90
CITIBANK N.A.,Providencia,2,PROVIDENCIA 2653  P 2,139,2,60,PR,139_PR_2,32400,31129,29974,28461,27195,26320,19512,15112,139_PR_2,2,2,31129,60
CITIBANK N.A.,Santiago,1,HUERFANOS 770,140,2,50,SA,140_SA_2,32400,31129,29974,28461,27195,26320,19512,15112,140_SA_2,2,1,31129,50
CITIBANK N.A.,Santiago,1,TEATINOS 180 P1,288,4,60,SA,288_SA_4,32400,31129,29974,28461,27195,26320,19512,15112,288_SA_4,4,1,31129,60
CITIBANK N.A.,Providencia,2,ORREGOLUCO 58,287,4,90,PR,287_PR_4,32400,31129,29974,28461,27195,26320,19512,15112,287_PR_4,4,2,31129,90
CITIBANK N.A.,Santiago,1,AHUMADA 40,212,3,40,SA,212_SA_3,32400,31129,29974,28461,27195,26320,19512,15112,212_SA_3,3,1,31129,40
CITIBANK N.A.,Vitacura,4,O BRIEN 2235,138,2,90,VI,138_VI_2,32400,31129,29974,28461,27195,26320,19512,15112,138_VI_2,2,4,31129,90
CLINICA ALEMANA DE SANTIAGO S.A.,Vitacura,4,CONCILIO VATICANO 6017,363,5,10,VI,363_VI_5,32400,31136,30002,28653,27297,26399,19615,15420,363_VI_5,5,4,31136,10
CLINICA ALEMANA DE SANTIAGO S.A.,Vitacura,4,AV.  VITACURA 5951 CENTRO COPI,214,3,25,VI,214_VI_3,32400,31136,30002,28653,27297,26399,19615,15420,214_VI_3,3,4,31136,25
CLINITEST LTDA,Providencia,2,RICARDO LYON 1899,215,3,45,PR,215_PR_3,32400,31139,30016,28734,27433,26408,19901,15551,215_PR_3,3,2,31139,45
CMPC CELULOSA S.A.,Santiago,1,AGUSTINAS 1357  P2,23,1,90,SA,23_SA_1,32400,31169,30050,28800,27495,26577,20093,15902,23_SA_1,1,1,31169,90
COASIN CHILE S.A.,Providencia,2,AV. HOLANDA 1292,24,1,100,PR,24_PR_1,32400,31177,30188,28857,27652,26648,20166,15944,24_PR_1,1,2,31177,100
COCA COLA DE CHILE S.A.,Las Condes,3,AV. KENNEDY 5757 P.11,289,4,110,LC,289_LC_4,32400,31227,30193,28997,27682,26868,20226,16105,289_LC_4,4,3,31227,110
COGAN GRUPO NORTE S.A.,Providencia,2,MARCHANT PEREIRA 1030,25,1,90,PR,25_PR_1,32400,31249,30248,29019,27705,26884,20519,16196,25_PR_1,1,2,31249,90
COLEGIO CALASANZ,—uÒoa,5,MONTENEGRO 661,141,2,150,NU,141_NU_2,32400,31265,30253,29328,27725,26936,20913,16232,141_NU_2,2,5,31265,150
COLEGIO CALASANZ,—uÒoa,5,MONTENEGRO 661,26,1,420,NU,26_NU_1,32400,31265,30253,29328,27725,26936,20913,16232,26_NU_1,1,5,31265,420
COLEGIO DEL SAGRADO CORAZON,Las Condes,3,SANTA MAGDALENA SOFIA 277,27,1,180,LC,27_LC_1,32400,31315,30288,29379,27772,27309,21019,16343,27_LC_1,1,3,31315,180
COMANDANCIA EN JEFE,Santiago,1,ZENTENO 45 P.5 ALA NORTE AYUDANTIA,216,3,80,SA,216_SA_3,32400,31323,30291,29469,27862,27386,21111,16462,216_SA_3,3,1,31323,80
COMERCIAL CYP S.A.,Santiago,1,ESTADO 10 OF. 1701,28,1,30,SA,28_SA_1,32400,31336,30304,29482,27892,27394,21543,16835,28_SA_1,1,1,31336,30
COMERCIAL ECCSA S.A.,Santiago,1,HUERFANOS 979  OF.401,29,1,60,SA,29_SA_1,32400,31373,30310,29584,27926,27575,21617,17661,29_SA_1,1,1,31373,60
