razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime.x,COD,Name,serviceTime.y,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
AMCHAM CHILE,Las Condes,3,AV. KENNEDY 5735 OF.201 TORRE PONIENTE,273,4,90,LC,273_LC_4,20,20025,18454,16445,14972,13321,5646,1388,273_LC_4,4,3,20025,20
ARAUCO SALUD S.A.,Las Condes,3,KENNEDY 5757 TORRE ORIENTE OF-702,343,5,45,LC,343_LC_5,20,20027,18502,16488,14993,14155,5764,1529,343_LC_5,5,3,20027,20
ARAWAK S.A. SERVICIOS PERSONALES,Santiago,1,PORVENIR 464,274,4,60,SA,274_SA_4,20,20027,18516,16645,15161,14315,6125,1874,274_SA_4,4,1,20027,20
ARTEL S.A.I.C.,Santiago,1,MATIAS COUSI—O 54 PISO 2,3,1,75,SA,3_SA_1,20,20047,18555,16919,15303,14375,6600,2027,3_SA_1,1,1,20047,20
ASEA BROWN BOVERI S.A.,—uÒoa,5,VICU—A MACKENNA 1602 RECEPCION.,106,2,75,NU,106_NU_2,20,20096,18607,17080,15521,14418,6920,2322,106_NU_2,2,5,20096,20
ASESORES EN VIAJE S.A.,Providencia,2,Las Bellotas # 225,107,2,30,PR,107_PR_2,25,20105,18643,17194,15616,14437,7746,2436,107_PR_2,2,2,20105,25
ASOC.FUNC.MUNICIP.DE LAS CONDES,Las Condes,3,APOQUINDO 3076 SUBTERRANEO,344,5,120,LC,344_LC_5,30,20122,18687,17388,15680,14718,7830,2692,344_LC_5,5,3,20122,30
ASOC.FUNC.MUNICIP.DE LAS CONDES,Las Condes,3,AV. APOQUINDO 3076 INTERIOR  SUBTE,108,2,10,LC,108_LC_2,30,20122,18687,17388,15680,14718,7830,2692,108_LC_2,2,3,20122,30
ASOCIADOS UNDURRAGA IMPRESORES LTDA.,Santiago,1,ANDES 3561,345,5,150,SA,345_SA_5,30,20128,18878,17472,16291,14755,8000,2839,345_SA_5,5,1,20128,30
AUTOMOVIL CLUB DE CHILE,Providencia,2,ANDRES BELLO 1863 PISO 2,194,3,20,PR,194_PR_3,30,20130,18901,17545,16339,14776,8103,2909,194_PR_3,3,2,20130,30
BAEZA Y COMPA—IA LTDA.,Las Condes,3,APOQUINDO 3001 PISO 12 OFIC. 1203,4,1,120,LC,4_LC_1,30,20141,18935,17597,16352,14828,8160,2949,4_LC_1,1,3,20141,30
BANCO CONOSUR,Santiago,1,ALAMEDA 1980 P.4,195,3,150,SA,195_SA_3,30,20145,18955,17606,16386,14828,8574,2995,195_SA_3,3,1,20145,30
BANCO DE CHILE,Santiago,1,AGUSTINAS 733 PISO 1 BCA.ORIVADA,5,1,90,SA,5_SA_1,30,20160,18957,17982,16448,14906,8584,3113,5_SA_1,1,1,20160,30
BANCO DE CHILE,Santiago,1,"AGUSTINAS 951, P. 5 SALA PROC.",197,3,120,SA,197_SA_3,30,20160,18957,17982,16448,14906,8584,3113,197_SA_3,3,1,20160,30
BANCO DE CHILE,Las Condes,3,LAS CONDES 10247 OF ESTORIL EDUARD,346,5,70,LC,346_LC_5,30,20160,18957,17982,16448,14906,8584,3113,346_LC_5,5,3,20160,30
BANCO DE CHILE,Santiago,1,HUERFANOS 980 P.2 COMERCIO EXTERIOR-3,199,3,80,SA,199_SA_3,30,20160,18957,17982,16448,14906,8584,3113,199_SA_3,3,1,20160,30
BANCO DE CHILE,Providencia,2,PROVIDENCIA 2178 ( STA. ISABEL ),196,3,45,PR,196_PR_3,30,20160,18957,17982,16448,14906,8584,3113,196_PR_3,3,2,20160,30
BANCO DE CHILE,Santiago,1,ESTADO 387 P.2,198,3,60,SA,198_SA_3,30,20160,18957,17982,16448,14906,8584,3113,198_SA_3,3,1,20160,30
BANCO DE CREDITO E INVERSIONES,Santiago,1,BANDERA 236 19-A PISO 3 CC.12282,6,1,30,SA,6_SA_1,30,20163,19051,18004,16465,14970,8893,3273,6_SA_1,1,1,20163,30
BANCO DE CREDITO E INVERSIONES,Santiago,1,SAN DIEGO 2043,200,3,60,SA,200_SA_3,30,20163,19051,18004,16465,14970,8893,3273,200_SA_3,3,1,20163,30
BANCO DE CREDITO E INVERSIONES,Las Condes,3,APOQUINDO 5710,201,3,270,LC,201_LC_3,30,20163,19051,18004,16465,14970,8893,3273,201_LC_3,3,3,20163,30
BANCO DEL DESARROLLO,Santiago,1,ALAMEDA 929 P5,347,5,20,SA,347_SA_5,30,20172,19111,18143,16594,15300,9045,3307,347_SA_5,5,1,20172,30
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P 8 SUBGCIA REGULARIZ.CRED.,7,1,290,SA,7_SA_1,30,20248,19114,18196,16624,15640,9984,3329,7_SA_1,1,1,20248,30
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.3 COMERCIO EXT,202,3,180,SA,202_SA_3,30,20248,19114,18196,16624,15640,9984,3329,202_SA_3,3,1,20248,30
BANCO DEL ESTADO DE CHILE,Santiago,1,HUERFANOS 1202 P.3 OF.310,8,1,60,SA,8_SA_1,30,20248,19114,18196,16624,15640,9984,3329,8_SA_1,1,1,20248,30
BANCO DEL ESTADO DE CHILE,Santiago,1,MORANDE 25 PISO 3,110,2,120,SA,110_SA_2,30,20248,19114,18196,16624,15640,9984,3329,110_SA_2,2,1,20248,30
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.6 GCIA. GRAL.FINANZAS,111,2,120,SA,111_SA_2,30,20248,19114,18196,16624,15640,9984,3329,111_SA_2,2,1,20248,30
BANCO DEL ESTADO DE CHILE,Santiago,1,NUEVA YORK 33 P 17,112,2,60,SA,112_SA_2,30,20248,19114,18196,16624,15640,9984,3329,112_SA_2,2,1,20248,30
BANCO DEL ESTADO DE CHILE,Santiago,1,BANDERA 861   1P,109,2,110,SA,109_SA_2,30,20248,19114,18196,16624,15640,9984,3329,109_SA_2,2,1,20248,30
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P 3 COMERCIO EXTE,114,2,60,SA,114_SA_2,30,20248,19114,18196,16624,15640,9984,3329,114_SA_2,2,1,20248,30
BANCO DEL ESTADO DE CHILE,Santiago,1,MORANDE 25 FISCALIA P.5 OF 503,113,2,60,SA,113_SA_2,30,20248,19114,18196,16624,15640,9984,3329,113_SA_2,2,1,20248,30
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.2 MODULO 6,203,3,45,SA,203_SA_3,30,20248,19114,18196,16624,15640,9984,3329,203_SA_3,3,1,20248,30
BANCO IND.Y DE COMERCIO EXTERIOR,Providencia,2,ISIDORA GOYENECHEA 3132 P 1,115,2,90,PR,115_PR_2,30,20259,19158,18248,16760,15954,10247,3665,115_PR_2,2,2,20259,30
BANCO INTERNACIONAL,Santiago,1,MONEDA 818 P.4 CENTRO COPIADO,348,5,60,SA,348_SA_5,35,20280,19176,18258,16784,16162,10370,3675,348_SA_5,5,1,20280,35
BANCO INTERNACIONAL,Santiago,1,MONEDA 818 PISO 2 GCIA GRAL.,349,5,15,SA,349_SA_5,35,20280,19176,18258,16784,16162,10370,3675,349_SA_5,5,1,20280,35
BANCO SANTANDER CHILE,Santiago,1,MONEDA 975  PISO 5,9,1,360,SA,9_SA_1,35,20326,19208,18327,16897,16241,10450,3832,9_SA_1,1,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 920 P.4,10,1,60,SA,10_SA_1,35,20326,19208,18327,16897,16241,10450,3832,10_SA_1,1,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,MATIAS COUSI?O 199 P-9,13,1,60,SA,13_SA_1,35,20326,19208,18327,16897,16241,10450,3832,13_SA_1,1,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,BANDERA 140 P.2,14,1,90,SA,14_SA_1,35,20326,19208,18327,16897,16241,10450,3832,14_SA_1,1,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,MONEDA 971 PISO 1 DPTO SOLUCIONES,350,5,180,SA,350_SA_5,35,20326,19208,18327,16897,16241,10450,3832,350_SA_5,5,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 1389 P.2,12,1,75,SA,12_SA_1,35,20326,19208,18327,16897,16241,10450,3832,12_SA_1,1,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,IRENE MORALES 10 PLAZA ITALIA,204,3,80,SA,204_SA_3,35,20326,19208,18327,16897,16241,10450,3832,204_SA_3,3,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,BANDERA 206 P 8,205,3,60,SA,205_SA_3,35,20326,19208,18327,16897,16241,10450,3832,205_SA_3,3,1,20326,35
BANCO SANTANDER CHILE,Providencia,2,AV FCO BILBAO 2082 SUBT,352,5,70,PR,352_PR_5,35,20326,19208,18327,16897,16241,10450,3832,352_PR_5,5,2,20326,35
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 170  1ER SUBTE.,11,1,120,SA,11_SA_1,35,20326,19208,18327,16897,16241,10450,3832,11_SA_1,1,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1157,275,4,90,SA,275_SA_4,35,20326,19208,18327,16897,16241,10450,3832,275_SA_4,4,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1269,276,4,60,SA,276_SA_4,35,20326,19208,18327,16897,16241,10450,3832,276_SA_4,4,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,CURICO 38 PISO 2.,277,4,120,SA,277_SA_4,35,20326,19208,18327,16897,16241,10450,3832,277_SA_4,4,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1081,120,2,55,SA,120_SA_2,35,20326,19208,18327,16897,16241,10450,3832,120_SA_2,2,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,MONEDA 975 P5,279,4,300,SA,279_SA_4,35,20326,19208,18327,16897,16241,10450,3832,279_SA_4,4,1,20326,35
BANCO SANTANDER CHILE,—uÒoa,5,IRARRAZAVAL 2709 PISO1 INTERIO,280,4,60,NU,280_NU_4,35,20326,19208,18327,16897,16241,10450,3832,280_NU_4,4,5,20326,35
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 52 SUBTERRANEO,119,2,60,SA,119_SA_2,35,20326,19208,18327,16897,16241,10450,3832,119_SA_2,2,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 920 P.2,124,2,30,SA,124_SA_2,35,20326,19208,18327,16897,16241,10450,3832,124_SA_2,2,1,20326,35
BANCO SANTANDER CHILE,Las Condes,3,EL RODEO 12850 LOCAL 33,121,2,45,LC,121_LC_2,35,20326,19208,18327,16897,16241,10450,3832,121_LC_2,2,3,20326,35
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 170 PISO 3,122,2,50,SA,122_SA_2,35,20326,19208,18327,16897,16241,10450,3832,122_SA_2,2,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,BANDERA 172 (12) PISO 5,351,5,60,SA,351_SA_5,35,20326,19208,18327,16897,16241,10450,3832,351_SA_5,5,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,ALAMEDA 1449 P.6,118,2,120,SA,118_SA_2,35,20326,19208,18327,16897,16241,10450,3832,118_SA_2,2,1,20326,35
BANCO SANTANDER CHILE,Providencia,2,AV. PROVIDENCIA 2051,278,4,150,PR,278_PR_4,35,20326,19208,18327,16897,16241,10450,3832,278_PR_4,4,2,20326,35
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 1025 P 4,116,2,60,SA,116_SA_2,35,20326,19208,18327,16897,16241,10450,3832,116_SA_2,2,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,Agustinas 1025 piso 5 Crillon,117,2,140,SA,117_SA_2,35,20326,19208,18327,16897,16241,10450,3832,117_SA_2,2,1,20326,35
BANCO SANTANDER CHILE,Santiago,1,BANDERA 140 P 18 ADMISION DE R,123,2,50,SA,123_SA_2,35,20326,19208,18327,16897,16241,10450,3832,123_SA_2,2,1,20326,35
BANCOESTADO CORREDORES DE SEGUROS LTDA.,Santiago,1,MONEDA 1140 PISO 2,15,1,240,SA,15_SA_1,38,20355,19218,18360,16924,16260,10554,3961,15_SA_1,1,1,20355,38
"BANKBOSTON, N.A.",Santiago,1,NVA.YORK 33 ..SUCURSAL,125,2,60,SA,125_SA_2,38,20362,19222,18540,17003,16261,10608,4712,125_SA_2,2,1,20362,38
"BANKBOSTON, N.A.",Providencia,2,ENRIQUE FOSTER SUR 20..P-6,281,4,70,PR,281_PR_4,38,20362,19222,18540,17003,16261,10608,4712,281_PR_4,4,2,20362,38
BAYERISCHE HAUSBAN INMOBILIARIA LTDA.,Las Condes,3,AV APOQUINDO 3721 PISO 21,282,4,90,LC,282_LC_4,40,20372,19289,18590,17126,16438,10615,4862,282_LC_4,4,3,20372,40
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 3.,127,2,80,PR,127_PR_2,40,20397,19290,18610,17155,16728,11261,4882,127_PR_2,2,2,20397,40
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 4,206,3,35,PR,206_PR_3,40,20397,19290,18610,17155,16728,11261,4882,206_PR_3,3,2,20397,40
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 4,126,2,180,PR,126_PR_2,40,20397,19290,18610,17155,16728,11261,4882,126_PR_2,2,2,20397,40
BESTPHARMA S.A,Santiago,1,ERASMO ESCALA 1875 PISO 2,353,5,5,SA,353_SA_5,40,20409,19299,18861,17209,16739,11295,5353,353_SA_5,5,1,20409,40
BIOMET CHILE S.A.,Providencia,2,POCURO 2255,354,5,30,PR,354_PR_5,40,20414,19383,18885,17521,16908,11304,5405,354_PR_5,5,2,20414,40
BOLSA DE C.DE STGO.BOLSA DE VAL.,Santiago,1,LA BOLSA 64 P.1,16,1,110,SA,16_SA_1,45,20436,19390,18893,17573,16941,11380,5614,16_SA_1,1,1,20436,45
BOLSA DE C.DE STGO.BOLSA DE VAL.,Santiago,1,LA BOLSA 64 P.3 OF.227 SERVICIOS,207,3,50,SA,207_SA_3,45,20436,19390,18893,17573,16941,11380,5614,207_SA_3,3,1,20436,45
C.M.P.C. PAPELES S.A.,Santiago,1,AGUSTINAS 1357 ENTREPISO,128,2,120,SA,128_SA_2,45,20462,19392,19016,17601,16952,11537,5625,128_SA_2,2,1,20462,45
CADE IDP.SERV.DE INGENIERIA LTDA,—uÒoa,5,VILLASECA 21 PISO 8,17,1,180,NU,17_NU_1,45,20464,19409,19025,17692,17150,11614,5888,17_NU_1,1,5,20464,45
CADE IDP.SERV.DE INGENIERIA LTDA,—uÒoa,5,JOSE DOMINGO CA—AS 2640,129,2,120,NU,129_NU_2,45,20464,19409,19025,17692,17150,11614,5888,129_NU_2,2,5,20464,45
CAJA DE C.A.F.GABRIELA MISTRAL,Santiago,1,AV. VICU—A MACKENNA 165 UNIDAD SUBSIDIOS,283,4,180,SA,283_SA_4,45,20503,19589,19083,17726,17212,11627,5902,283_SA_4,4,1,20503,45
CAJA DE COMPENSAC.DE LOS ANDES,Las Condes,3,ROSARIO SUR 85,355,5,150,LC,355_LC_5,45,20514,19656,19092,17774,17241,11863,6015,355_LC_5,5,3,20514,45
CAJA DE COMPENSAC.DE LOS ANDES,Santiago,1,HUERFANOS 1133 PISO 2,130,2,90,SA,130_SA_2,45,20514,19656,19092,17774,17241,11863,6015,130_SA_2,2,1,20514,45
CAMARA DE COMERCIO DE SANTIAGO,Santiago,1,MONJITAS 392 PISO 3,356,5,150,SA,356_SA_5,45,20519,19657,19157,17850,17255,11906,6354,356_SA_5,5,1,20519,45
CAMPVS MATER S.A.,Providencia,2,AV. PROVIDENCIA 1760 P.14,131,2,215,PR,131_PR_2,50,20520,19684,19183,17852,17290,12122,7584,131_PR_2,2,2,20520,50
CARABINEROS DE CHILE,Santiago,1,AMUNATEGUI  519 SUB DIR.TRANSITO P9,18,1,90,SA,18_SA_1,50,20554,19703,19218,17877,17309,12179,7751,18_SA_1,1,1,20554,50
CARABINEROS DE CHILE,Santiago,1,ALAMEDA 1196 P 6 DPTO 2,208,3,90,SA,208_SA_3,50,20554,19703,19218,17877,17309,12179,7751,208_SA_3,3,1,20554,50
CARABINEROS DE CHILE,Santiago,1,AMUNATEGUI 519 P 11,209,3,45,SA,209_SA_3,50,20554,19703,19218,17877,17309,12179,7751,209_SA_3,3,1,20554,50
CARABINEROS DE CHILE,Santiago,1,AV BERNARDO OHIGGINS 1196 P 10 ADM CAJA,132,2,20,SA,132_SA_2,50,20554,19703,19218,17877,17309,12179,7751,132_SA_2,2,1,20554,50
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943 PISO 1,19,1,180,SA,19_SA_1,50,20569,19715,19222,17954,17330,12209,7923,19_SA_1,1,1,20569,50
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943 PISO 1,210,3,180,SA,210_SA_3,50,20569,19715,19222,17954,17330,12209,7923,210_SA_3,3,1,20569,50
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943,284,4,240,SA,284_SA_4,50,20569,19715,19222,17954,17330,12209,7923,284_SA_4,4,1,20569,50
CHILECTRA S.A.,Santiago,1,SANTA ROSA 76 PISO 4,134,2,60,SA,134_SA_2,50,20653,19734,19390,18089,17398,12637,7927,134_SA_2,2,1,20653,50
CHILECTRA S.A.,Santiago,1,VICTORIA 612 PISO 2,133,2,90,SA,133_SA_2,50,20653,19734,19390,18089,17398,12637,7927,133_SA_2,2,1,20653,50
CHILECTRA S.A.,Santiago,1,VICTORIA 612 PISO 2,357,5,60,SA,357_SA_5,50,20653,19734,19390,18089,17398,12637,7927,357_SA_5,5,1,20653,50
CIA. AMERICANA DE MULTISERVICIOS LTDA.,Santiago,1,TARAPACA 934 PISO 2,285,4,60,SA,285_SA_4,50,20662,19756,19410,18158,17446,12719,8014,285_SA_4,4,1,20662,50
CIA. CERVECERIAS UNIDAS S.A.,Santiago,1,BANDERA 84 P9,135,2,60,SA,135_SA_2,50,20667,19764,19507,18161,17452,12779,8078,135_SA_2,2,1,20667,50
CIA. CERVECERIAS UNIDAS S.A.,Santiago,1,BANDERA 84 PISO 8  DEPTO.TESORERIA,20,1,60,SA,20_SA_1,50,20667,19764,19507,18161,17452,12779,8078,20_SA_1,1,1,20667,50
CIA. CHILENA DE PERFORACIONES LTDA.,Las Condes,3,BENJAMIN 2935  PISO 8  OF.802,136,2,30,LC,136_LC_2,50,20674,19764,19511,18223,17470,12835,8143,136_LC_2,2,3,20674,50
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,PEDRO DE VALDIVIA 291 PISO 13,286,4,60,PR,286_PR_4,52,20678,19806,19577,18321,17719,12853,8414,286_PR_4,4,2,20678,52
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Las Condes,3,LOS BRONCES PROYECTO SAN FRANC,360,5,10,LC,360_LC_5,52,20678,19806,19577,18321,17719,12853,8414,360_LC_5,5,3,20678,52
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,P.DE VALDIVIA 291 PISO 1,358,5,70,PR,358_PR_5,52,20678,19806,19577,18321,17719,12853,8414,358_PR_5,5,2,20678,52
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,"AV. PEDRO DE VALDIVIA 291, 1 SUBTERRANEO",137,2,150,PR,137_PR_2,52,20678,19806,19577,18321,17719,12853,8414,137_PR_2,2,2,20678,52
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Las Condes,3,"LOS BRONCES,GERENCIA PLANTAS,S",359,5,10,LC,359_LC_5,52,20678,19806,19577,18321,17719,12853,8414,359_LC_5,5,3,20678,52
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Santiago,1,PEDRO DE VALDIVIA 291 1 SUB,361,5,10,SA,361_SA_5,52,20678,19806,19577,18321,17719,12853,8414,361_SA_5,5,1,20678,52
CIA.ELECTROMETALURGICA S.A.,—uÒoa,5,AV. V.MACKENNA 1570 GCIA.. GEN,21,1,90,NU,21_NU_1,57,20688,19853,19586,18351,17746,12874,8649,21_NU_1,1,5,20688,57
CIA.ELECTROMETALURGICA S.A.,—uÒoa,5,AVDA VICU?A MACKENNA 1570 G COMERCIAL,211,3,40,NU,211_NU_3,57,20688,19853,19586,18351,17746,12874,8649,211_NU_3,3,5,20688,57
CIENTOCHENTA GRADOS S.A.,Providencia,2,NVA.LOS LEONES 07 PISO 10,362,5,240,PR,362_PR_5,57,20729,19930,19589,18420,17795,13350,8686,362_PR_5,5,2,20729,57
CITIBANK N.A.,Providencia,2,AV PROVIDENCIA 655,22,1,60,PR,22_PR_1,60,20731,19952,19712,18471,17800,13389,8933,22_PR_1,1,2,20731,60
CITIBANK N.A.,Las Condes,3,AV EL  BOSQUE  0500  P. 3,213,3,90,LC,213_LC_3,60,20731,19952,19712,18471,17800,13389,8933,213_LC_3,3,3,20731,60
CITIBANK N.A.,Providencia,2,PROVIDENCIA 2653  P 2,139,2,60,PR,139_PR_2,60,20731,19952,19712,18471,17800,13389,8933,139_PR_2,2,2,20731,60
CITIBANK N.A.,Santiago,1,HUERFANOS 770,140,2,50,SA,140_SA_2,60,20731,19952,19712,18471,17800,13389,8933,140_SA_2,2,1,20731,60
CITIBANK N.A.,Santiago,1,TEATINOS 180 P1,288,4,60,SA,288_SA_4,60,20731,19952,19712,18471,17800,13389,8933,288_SA_4,4,1,20731,60
CITIBANK N.A.,Providencia,2,ORREGOLUCO 58,287,4,90,PR,287_PR_4,60,20731,19952,19712,18471,17800,13389,8933,287_PR_4,4,2,20731,60
CITIBANK N.A.,Santiago,1,AHUMADA 40,212,3,40,SA,212_SA_3,60,20731,19952,19712,18471,17800,13389,8933,212_SA_3,3,1,20731,60
CITIBANK N.A.,Vitacura,4,O BRIEN 2235,138,2,90,VI,138_VI_2,60,20731,19952,19712,18471,17800,13389,8933,138_VI_2,2,4,20731,60
CLINICA ALEMANA DE SANTIAGO S.A.,Vitacura,4,CONCILIO VATICANO 6017,363,5,10,VI,363_VI_5,60,20745,19962,19909,18493,17976,13687,9222,363_VI_5,5,4,20745,60
CLINICA ALEMANA DE SANTIAGO S.A.,Vitacura,4,AV.  VITACURA 5951 CENTRO COPI,214,3,25,VI,214_VI_3,60,20745,19962,19909,18493,17976,13687,9222,214_VI_3,3,4,20745,60
CLINITEST LTDA,Providencia,2,RICARDO LYON 1899,215,3,45,PR,215_PR_3,60,20754,20013,19940,18504,18245,13726,9260,215_PR_3,3,2,20754,60
CMPC CELULOSA S.A.,Santiago,1,AGUSTINAS 1357  P2,23,1,90,SA,23_SA_1,60,20758,20022,19987,18513,18446,13937,9475,23_SA_1,1,1,20758,60
COASIN CHILE S.A.,Providencia,2,AV. HOLANDA 1292,24,1,100,PR,24_PR_1,60,20760,20025,19994,18567,18494,13979,9480,24_PR_1,1,2,20760,60
COCA COLA DE CHILE S.A.,Las Condes,3,AV. KENNEDY 5757 P.11,289,4,110,LC,289_LC_4,60,20788,20029,20032,18621,18677,14004,9548,289_LC_4,4,3,20788,60
COGAN GRUPO NORTE S.A.,Providencia,2,MARCHANT PEREIRA 1030,25,1,90,PR,25_PR_1,60,20788,20066,20071,18763,18685,14041,9623,25_PR_1,1,2,20788,60
COLEGIO CALASANZ,—uÒoa,5,MONTENEGRO 661,141,2,150,NU,141_NU_2,60,20792,20157,20077,18810,18816,14105,9842,141_NU_2,2,5,20792,60
COLEGIO CALASANZ,—uÒoa,5,MONTENEGRO 661,26,1,420,NU,26_NU_1,60,20792,20157,20077,18810,18816,14105,9842,26_NU_1,1,5,20792,60
COLEGIO DEL SAGRADO CORAZON,Las Condes,3,SANTA MAGDALENA SOFIA 277,27,1,180,LC,27_LC_1,60,20819,20225,20095,18901,18831,14110,9854,27_LC_1,1,3,20819,60
COMANDANCIA EN JEFE,Santiago,1,ZENTENO 45 P.5 ALA NORTE AYUDANTIA,216,3,80,SA,216_SA_3,60,20828,20238,20097,19053,18838,14377,9998,216_SA_3,3,1,20828,60
COMERCIAL CYP S.A.,Santiago,1,ESTADO 10 OF. 1701,28,1,30,SA,28_SA_1,60,20844,20249,20118,19081,18957,14419,10097,28_SA_1,1,1,20844,60
COMERCIAL ECCSA S.A.,Santiago,1,HUERFANOS 979  OF.401,29,1,60,SA,29_SA_1,60,20844,20301,20120,19110,19033,14520,10219,29_SA_1,1,1,20844,60
COMERCIALIZADORA INTEGRAL LTDA.,Providencia,2,ISIDORITA 143,364,5,1,PR,364_PR_5,60,20868,20334,20276,19166,19059,14582,10279,364_PR_5,5,2,20868,60
