razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime,COD,Name,c,p,damage,pages,wasteTime(min),penalty
AUTOMOVIL CLUB DE CHILE,Providencia,2,ANDRES BELLO 1863 PISO 2,194,3,20,PR,194_PR_3,27,0.68294685,0.000757269,35403.96471,27,1206
BAEZA Y COMPA—IA LTDA.,Las Condes,3,APOQUINDO 3001 PISO 12 OFIC. 1203,4,1,120,LC,4_LC_1,21,0.931533477,0.365262382,37559.42979,13719,617357
BANCO CONOSUR,Santiago,1,ALAMEDA 1980 P.4,195,3,150,SA,195_SA_3,19,0.535686312,0.000215818,19541.83665,4,190
BANCO DE CHILE,Santiago,1,AGUSTINAS 733 PISO 1 BCA.ORIVADA,5,1,90,SA,5_SA_1,21,0.319132502,1.51E-07,12867.42247,0,0
BANCO DE CHILE,Santiago,1,"AGUSTINAS 951, P. 5 SALA PROC.",197,3,120,SA,197_SA_3,21,0.319132502,1.51E-07,12867.42247,0,0
BANCO DE CHILE,Las Condes,3,LAS CONDES 10247 OF ESTORIL EDUARD,346,5,70,LC,346_LC_5,21,0.319132502,1.51E-07,12867.42247,0,0
BANCO DE CHILE,Santiago,1,HUERFANOS 980 P.2 COMERCIO EXTERIOR-3,199,3,80,SA,199_SA_3,21,0.319132502,1.51E-07,12867.42247,0,0
BANCO DE CHILE,Providencia,2,PROVIDENCIA 2178 ( STA. ISABEL ),196,3,45,PR,196_PR_3,21,0.319132502,1.51E-07,12867.42247,0,0
BANCO DE CHILE,Santiago,1,ESTADO 387 P.2,198,3,60,SA,198_SA_3,21,0.319132502,1.51E-07,12867.42247,0,0
BANCO DE CREDITO E INVERSIONES,Santiago,1,BANDERA 236 19-A PISO 3 CC.12282,6,1,30,SA,6_SA_1,19,0.403459854,8.85E-06,14718.21547,0,6
BANCO DE CREDITO E INVERSIONES,Santiago,1,SAN DIEGO 2043,200,3,60,SA,200_SA_3,19,0.403459854,8.85E-06,14718.21547,0,6
BANCO DE CREDITO E INVERSIONES,Las Condes,3,APOQUINDO 5710,201,3,270,LC,201_LC_3,19,0.403459854,8.85E-06,14718.21547,0,6
BANCO DEL DESARROLLO,Santiago,1,ALAMEDA 929 P5,347,5,20,SA,347_SA_5,23,0.257377525,1.41E-09,11365.79151,0,0
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P 8 SUBGCIA REGULARIZ.CRED.,7,1,290,SA,7_SA_1,15,0.34958943,1.08E-05,10068.17558,0,5
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.3 COMERCIO EXT,202,3,180,SA,202_SA_3,15,0.34958943,1.08E-05,10068.17558,0,5
BANCO DEL ESTADO DE CHILE,Santiago,1,HUERFANOS 1202 P.3 OF.310,8,1,60,SA,8_SA_1,15,0.34958943,1.08E-05,10068.17558,0,5
BANCO DEL ESTADO DE CHILE,Santiago,1,MORANDE 25 PISO 3,110,2,120,SA,110_SA_2,15,0.34958943,1.08E-05,10068.17558,0,5
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.6 GCIA. GRAL.FINANZAS,111,2,120,SA,111_SA_2,15,0.34958943,1.08E-05,10068.17558,0,5
BANCO DEL ESTADO DE CHILE,Santiago,1,NUEVA YORK 33 P 17,112,2,60,SA,112_SA_2,15,0.34958943,1.08E-05,10068.17558,0,5
BANCO DEL ESTADO DE CHILE,Santiago,1,BANDERA 861   1P,109,2,110,SA,109_SA_2,15,0.34958943,1.08E-05,10068.17558,0,5
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P 3 COMERCIO EXTE,114,2,60,SA,114_SA_2,15,0.34958943,1.08E-05,10068.17558,0,5
BANCO DEL ESTADO DE CHILE,Santiago,1,MORANDE 25 FISCALIA P.5 OF 503,113,2,60,SA,113_SA_2,15,0.34958943,1.08E-05,10068.17558,0,5
BANCO DEL ESTADO DE CHILE,Santiago,1,ALAMEDA 1111 P.2 MODULO 6,203,3,45,SA,203_SA_3,15,0.34958943,1.08E-05,10068.17558,0,5
BANCO IND.Y DE COMERCIO EXTERIOR,Providencia,2,ISIDORA GOYENECHEA 3132 P 1,115,2,90,PR,115_PR_2,15,0.135038231,1.33E-10,3889.101047,0,0
BANCO INTERNACIONAL,Santiago,1,MONEDA 818 P.4 CENTRO COPIADO,348,5,60,SA,348_SA_5,17,0.992793313,inf,32404.77373,100000,4500000
BANCO INTERNACIONAL,Santiago,1,MONEDA 818 PISO 2 GCIA GRAL.,349,5,15,SA,349_SA_5,17,0.992793313,inf,32404.77373,100000,4500000
BANCO SANTANDER CHILE,Santiago,1,MONEDA 975  PISO 5,9,1,360,SA,9_SA_1,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 920 P.4,10,1,60,SA,10_SA_1,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,MATIAS COUSI?O 199 P-9,13,1,60,SA,13_SA_1,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,BANDERA 140 P.2,14,1,90,SA,14_SA_1,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,MONEDA 971 PISO 1 DPTO SOLUCIONES,350,5,180,SA,350_SA_5,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 1389 P.2,12,1,75,SA,12_SA_1,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,IRENE MORALES 10 PLAZA ITALIA,204,3,80,SA,204_SA_3,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,BANDERA 206 P 8,205,3,60,SA,205_SA_3,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Providencia,2,AV FCO BILBAO 2082 SUBT,352,5,70,PR,352_PR_5,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 170  1ER SUBTE.,11,1,120,SA,11_SA_1,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1157,275,4,90,SA,275_SA_4,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1269,276,4,60,SA,276_SA_4,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,CURICO 38 PISO 2.,277,4,120,SA,277_SA_4,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1081,120,2,55,SA,120_SA_2,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,MONEDA 975 P5,279,4,300,SA,279_SA_4,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,—uÒoa,5,IRARRAZAVAL 2709 PISO1 INTERIO,280,4,60,NU,280_NU_4,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 52 SUBTERRANEO,119,2,60,SA,119_SA_2,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 920 P.2,124,2,30,SA,124_SA_2,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Las Condes,3,EL RODEO 12850 LOCAL 33,121,2,45,LC,121_LC_2,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 170 PISO 3,122,2,50,SA,122_SA_2,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,BANDERA 172 (12) PISO 5,351,5,60,SA,351_SA_5,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,ALAMEDA 1449 P.6,118,2,120,SA,118_SA_2,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Providencia,2,AV. PROVIDENCIA 2051,278,4,150,PR,278_PR_4,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 1025 P 4,116,2,60,SA,116_SA_2,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,Agustinas 1025 piso 5 Crillon,117,2,140,SA,117_SA_2,23,0.834649284,0.01588306,36858.1124,585,26344
BANCO SANTANDER CHILE,Santiago,1,BANDERA 140 P 18 ADMISION DE R,123,2,50,SA,123_SA_2,23,0.834649284,0.01588306,36858.1124,585,26344
BANCOESTADO CORREDORES DE SEGUROS LTDA.,Santiago,1,MONEDA 1140 PISO 2,15,1,240,SA,15_SA_1,23,0.516300703,5.14E-05,22799.83905,1,53
"BANKBOSTON, N.A.",Santiago,1,NVA.YORK 33 ..SUCURSAL,125,2,60,SA,125_SA_2,22,0.212848397,1.09E-10,8990.716308,0,0
"BANKBOSTON, N.A.",Providencia,2,ENRIQUE FOSTER SUR 20..P-6,281,4,70,PR,281_PR_4,22,0.212848397,1.09E-10,8990.716308,0,0
BAYERISCHE HAUSBAN INMOBILIARIA LTDA.,Las Condes,3,AV APOQUINDO 3721 PISO 21,282,4,90,LC,282_LC_4,12,0.494053025,0.000843041,11382.9817,10,432
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 3.,127,2,80,PR,127_PR_2,22,0.922783753,0.189884074,38978.38573,7401,333062
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 4,206,3,35,PR,206_PR_3,22,0.922783753,0.189884074,38978.38573,7401,333062
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 4,126,2,180,PR,126_PR_2,22,0.922783753,0.189884074,38978.38573,7401,333062
BESTPHARMA S.A,Santiago,1,ERASMO ESCALA 1875 PISO 2,353,5,5,SA,353_SA_5,19,0.928807415,0.48163271,33882.89448,16319,734360
BIOMET CHILE S.A.,Providencia,2,POCURO 2255,354,5,30,PR,354_PR_5,17,0.03452808,0,1126.996536,0,0
BOLSA DE C.DE STGO.BOLSA DE VAL.,Santiago,1,LA BOLSA 64 P.1,16,1,110,SA,16_SA_1,20,0.383685167,3.12E-06,14733.51042,0,2
BOLSA DE C.DE STGO.BOLSA DE VAL.,Santiago,1,LA BOLSA 64 P.3 OF.227 SERVICIOS,207,3,50,SA,207_SA_3,20,0.383685167,3.12E-06,14733.51042,0,2
C.M.P.C. PAPELES S.A.,Santiago,1,AGUSTINAS 1357 ENTREPISO,128,2,120,SA,128_SA_2,20,0.534168624,0.000162647,20512.07515,3,150
CADE IDP.SERV.DE INGENIERIA LTDA,—uÒoa,5,VILLASECA 21 PISO 8,17,1,180,NU,17_NU_1,13,0.457840841,0.000318926,11427.7074,4,164
CADE IDP.SERV.DE INGENIERIA LTDA,—uÒoa,5,JOSE DOMINGO CA—AS 2640,129,2,120,NU,129_NU_2,13,0.457840841,0.000318926,11427.7074,4,164
CAJA DE C.A.F.GABRIELA MISTRAL,Santiago,1,AV. VICU—A MACKENNA 165 UNIDAD SUBSIDIOS,283,4,180,SA,283_SA_4,37,0.965999183,0.741026566,68624.58196,50853,2288369
CAJA DE COMPENSAC.DE LOS ANDES,Las Condes,3,ROSARIO SUR 85,355,5,150,LC,355_LC_5,21,0.007402618,0,298.4735464,0,0
CAJA DE COMPENSAC.DE LOS ANDES,Santiago,1,HUERFANOS 1133 PISO 2,130,2,90,SA,130_SA_2,21,0.007402618,0,298.4735464,0,0
CAMARA DE COMERCIO DE SANTIAGO,Santiago,1,MONJITAS 392 PISO 3,356,5,150,SA,356_SA_5,23,0.171858249,8.62E-13,7589.260286,0,0
CAMPVS MATER S.A.,Providencia,2,AV. PROVIDENCIA 1760 P.14,131,2,215,PR,131_PR_2,19,0.666398701,0.001972899,24310.22462,48,2158
CARABINEROS DE CHILE,Santiago,1,AMUNATEGUI  519 SUB DIR.TRANSITO P9,18,1,90,SA,18_SA_1,13,0.521272531,0.000915816,13010.96238,12,536
CARABINEROS DE CHILE,Santiago,1,ALAMEDA 1196 P 6 DPTO 2,208,3,90,SA,208_SA_3,13,0.521272531,0.000915816,13010.96238,12,536
CARABINEROS DE CHILE,Santiago,1,AMUNATEGUI 519 P 11,209,3,45,SA,209_SA_3,13,0.521272531,0.000915816,13010.96238,12,536
CARABINEROS DE CHILE,Santiago,1,AV BERNARDO OHIGGINS 1196 P 10 ADM CAJA,132,2,20,SA,132_SA_2,13,0.521272531,0.000915816,13010.96238,12,536
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943 PISO 1,19,1,180,SA,19_SA_1,11,0.675668341,0.012409726,14270.11536,177,7969
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943 PISO 1,210,3,180,SA,210_SA_3,11,0.675668341,0.012409726,14270.11536,177,7969
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943,284,4,240,SA,284_SA_4,11,0.675668341,0.012409726,14270.11536,177,7969
CHILECTRA S.A.,Santiago,1,SANTA ROSA 76 PISO 4,134,2,60,SA,134_SA_2,28,0.866886721,0.018107699,46603.83015,844,37975
CHILECTRA S.A.,Santiago,1,VICTORIA 612 PISO 2,133,2,90,SA,133_SA_2,28,0.866886721,0.018107699,46603.83015,844,37975
CHILECTRA S.A.,Santiago,1,VICTORIA 612 PISO 2,357,5,60,SA,357_SA_5,28,0.866886721,0.018107699,46603.83015,844,37975
CIA. AMERICANA DE MULTISERVICIOS LTDA.,Santiago,1,TARAPACA 934 PISO 2,285,4,60,SA,285_SA_4,13,0.207337607,1.79E-07,5175.146675,0,0
CIA. CERVECERIAS UNIDAS S.A.,Santiago,1,BANDERA 84 P9,135,2,60,SA,135_SA_2,19,0.632774182,0.001175813,23083.60216,27,1221
CIA. CERVECERIAS UNIDAS S.A.,Santiago,1,BANDERA 84 PISO 8  DEPTO.TESORERIA,20,1,60,SA,20_SA_1,19,0.632774182,0.001175813,23083.60216,27,1221
CIA. CHILENA DE PERFORACIONES LTDA.,Las Condes,3,BENJAMIN 2935  PISO 8  OF.802,136,2,30,LC,136_LC_2,21,0.973159084,inf,39237.77425,100000,4500000
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,PEDRO DE VALDIVIA 291 PISO 13,286,4,60,PR,286_PR_4,26,0.294033187,2.36E-09,14678.13667,0,0
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Las Condes,3,LOS BRONCES PROYECTO SAN FRANC,360,5,10,LC,360_LC_5,26,0.294033187,2.36E-09,14678.13667,0,0
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,P.DE VALDIVIA 291 PISO 1,358,5,70,PR,358_PR_5,26,0.294033187,2.36E-09,14678.13667,0,0
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,"AV. PEDRO DE VALDIVIA 291, 1 SUBTERRANEO",137,2,150,PR,137_PR_2,26,0.294033187,2.36E-09,14678.13667,0,0
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Las Condes,3,"LOS BRONCES,GERENCIA PLANTAS,S",359,5,10,LC,359_LC_5,26,0.294033187,2.36E-09,14678.13667,0,0
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Santiago,1,PEDRO DE VALDIVIA 291 1 SUB,361,5,10,SA,361_SA_5,26,0.294033187,2.36E-09,14678.13667,0,0
CIA.ELECTROMETALURGICA S.A.,—uÒoa,5,AV. V.MACKENNA 1570 GCIA.. GEN,21,1,90,NU,21_NU_1,20,0.361782216,1.44E-06,13892.43709,0,1
CIA.ELECTROMETALURGICA S.A.,—uÒoa,5,AVDA VICU?A MACKENNA 1570 G COMERCIAL,211,3,40,NU,211_NU_3,20,0.361782216,1.44E-06,13892.43709,0,1
CIENTOCHENTA GRADOS S.A.,Providencia,2,NVA.LOS LEONES 07 PISO 10,362,5,240,PR,362_PR_5,17,0.296735888,5.53E-07,9685.459396,0,0
CITIBANK N.A.,Providencia,2,AV PROVIDENCIA 655,22,1,60,PR,22_PR_1,15,0.965739281,inf,27813.2913,100000,4500000
CITIBANK N.A.,Las Condes,3,AV EL  BOSQUE  0500  P. 3,213,3,90,LC,213_LC_3,15,0.965739281,inf,27813.2913,100000,4500000
CITIBANK N.A.,Providencia,2,PROVIDENCIA 2653  P 2,139,2,60,PR,139_PR_2,15,0.965739281,inf,27813.2913,100000,4500000
CITIBANK N.A.,Santiago,1,HUERFANOS 770,140,2,50,SA,140_SA_2,15,0.965739281,inf,27813.2913,100000,4500000
CITIBANK N.A.,Santiago,1,TEATINOS 180 P1,288,4,60,SA,288_SA_4,15,0.965739281,inf,27813.2913,100000,4500000
CITIBANK N.A.,Providencia,2,ORREGOLUCO 58,287,4,90,PR,287_PR_4,15,0.965739281,inf,27813.2913,100000,4500000
CITIBANK N.A.,Santiago,1,AHUMADA 40,212,3,40,SA,212_SA_3,15,0.965739281,inf,27813.2913,100000,4500000
CITIBANK N.A.,Vitacura,4,O BRIEN 2235,138,2,90,VI,138_VI_2,15,0.965739281,inf,27813.2913,100000,4500000
CLINICA ALEMANA DE SANTIAGO S.A.,Vitacura,4,CONCILIO VATICANO 6017,363,5,10,VI,363_VI_5,27,0.856071645,0.015821163,44378.75406,702,31596
CLINICA ALEMANA DE SANTIAGO S.A.,Vitacura,4,AV.  VITACURA 5951 CENTRO COPI,214,3,25,VI,214_VI_3,27,0.856071645,0.015821163,44378.75406,702,31596
CLINITEST LTDA,Providencia,2,RICARDO LYON 1899,215,3,45,PR,215_PR_3,17,0.718620881,0.005949229,23455.78555,140,6279
CMPC CELULOSA S.A.,Santiago,1,AGUSTINAS 1357  P2,23,1,90,SA,23_SA_1,11,0.201839671,8.81E-07,4262.853847,0,0
COASIN CHILE S.A.,Providencia,2,AV. HOLANDA 1292,24,1,100,PR,24_PR_1,22,0.831369296,0.016831743,35117.03905,591,26599
COCA COLA DE CHILE S.A.,Las Condes,3,AV. KENNEDY 5757 P.11,289,4,110,LC,289_LC_4,22,0.540873166,0.000115247,22846.48254,3,118
COGAN GRUPO NORTE S.A.,Providencia,2,MARCHANT PEREIRA 1030,25,1,90,PR,25_PR_1,21,0.979476707,inf,39492.50083,100000,4500000
COLEGIO CALASANZ,—uÒoa,5,MONTENEGRO 661,141,2,150,NU,141_NU_2,19,0.588817765,0.000571013,21480.07207,12,552
COLEGIO CALASANZ,—uÒoa,5,MONTENEGRO 661,26,1,420,NU,26_NU_1,19,0.588817765,0.000571013,21480.07207,12,552
COLEGIO DEL SAGRADO CORAZON,Las Condes,3,SANTA MAGDALENA SOFIA 277,27,1,180,LC,27_LC_1,18,0.114758626,2.49E-13,3966.058126,0,0
COMANDANCIA EN JEFE,Santiago,1,ZENTENO 45 P.5 ALA NORTE AYUDANTIA,216,3,80,SA,216_SA_3,24,0.246237671,3.19E-10,11346.6319,0,0
COMERCIAL CYP S.A.,Santiago,1,ESTADO 10 OF. 1701,28,1,30,SA,28_SA_1,17,0.259988555,1.04E-07,8486.026427,0,0
COMERCIAL ECCSA S.A.,Santiago,1,HUERFANOS 979  OF.401,29,1,60,SA,29_SA_1,21,0.121835585,1.28E-14,4912.410768,0,0
COMERCIALIZADORA INTEGRAL LTDA.,Providencia,2,ISIDORITA 143,364,5,1,PR,364_PR_5,21,0.516092655,8.55E-05,20808.85583,2,80
COMERCIALIZADORA S.A.,Santiago,1,ALAMEDA 757 P5,217,3,150,SA,217_SA_3,24,0.563087148,0.000119579,25947.05579,3,140
COMERCIALIZADORA S.A.,Santiago,1,PUENTE 696 P.2 DPTO.CREDITO,365,5,120,SA,365_SA_5,24,0.563087148,0.000119579,25947.05579,3,140
COMERCIALIZADORA S.A.,Santiago,1,PUENTE 640 DEPTO CREDITO P1,290,4,60,SA,290_SA_4,24,0.563087148,0.000119579,25947.05579,3,140
COMISION NACIONAL DE RIEGO,Santiago,1,VALENTIN LETELIER 1350 P.1,291,4,150,SA,291_SA_4,22,0.052971607,0,2237.520683,0,0
COMISION NACIONAL DEL MEDIO AMBIENTE,Providencia,2,OBISPO DONOSO 6 PISO 6,292,4,50,PR,292_PR_4,15,0.47613528,0.000219494,13712.69605,3,135
COMISION NACIONAL DEL MEDIO AMBIENTE,Providencia,2,OBISPO DONOSO 6 PISO 1,293,4,165,PR,293_PR_4,15,0.47613528,0.000219494,13712.69605,3,135
CONFECCIONES GERARD LTDA.,Santiago,1,NATANIEL COX 1528,294,4,90,SA,294_SA_4,22,0.885064318,0.053016448,37385.11679,1982,89191
CONSEJO LOCAL DE DEPORTES LAS CONDES,Las Condes,3,CERRO COLORADO 5435,142,2,50,LC,142_LC_2,19,0.539627011,0.00023304,19685.59336,5,206
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440 P.2,218,3,120,SA,218_SA_3,18,0.714004285,0.004696655,24675.98809,116,5215
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440 P.4,219,3,90,SA,219_SA_3,18,0.714004285,0.004696655,24675.98809,116,5215
CONSERVADOR DE BIENES RAICES,Santiago,1,MORANDE 440  P.2,143,2,180,SA,143_SA_2,18,0.714004285,0.004696655,24675.98809,116,5215
CONSORCIO ARA-INGENDESA LTDA.,Santiago,1,SAN ISIDRO 65,144,2,90,SA,144_SA_2,20,0.248130888,6.39E-09,9528.226081,0,0
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Las Condes,3,CALLAO 2928 PISO 1,145,2,60,LC,145_LC_2,15,0.741662606,0.011791209,21359.88304,252,11334
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Santiago,1,BANDERA 248 LC.1,146,2,165,SA,146_SA_2,15,0.741662606,0.011791209,21359.88304,252,11334
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Las Condes,3,AV.EL BOSQUE SUR 180 P6 RRHH,147,2,30,LC,147_LC_2,15,0.741662606,0.011791209,21359.88304,252,11334
CONSORCIO NAC.SEG.S.A.CIA.SEG.V.,Providencia,2,EL BOSQUE 180 PISO 6,220,3,60,PR,220_PR_3,15,0.741662606,0.011791209,21359.88304,252,11334
CONSTRA.ASOC.B Y C LTDA.,Providencia,2,LAS URBINA 53 OF 141,30,1,60,PR,30_PR_1,21,0.106266631,9.99E-16,4284.670573,0,0
CONSTRUCTORA CABO DE HORNOS LTDA.,Las Condes,3,LINEO 6557,295,4,60,LC,295_LC_4,16,0.024149086,0,741.8599319,0,0
CONSTRUCTORA COPEVA S. A.,Santiago,1,PHILLIPS 84 OF 49,366,5,20,SA,366_SA_5,14,0.979919114,inf,26340.22579,100000,4500000
CORPBANCA,Santiago,1,HUERFANOS 1072   P8,32,1,90,SA,32_SA_1,22,0.710739784,0.002407367,30021.64849,72,3252
CORPBANCA,Santiago,1,ALAMEDA 2206 PISO 1,31,1,90,SA,31_SA_1,22,0.710739784,0.002407367,30021.64849,72,3252
CORPORACION DE AYUDA AL PACIENTE MENTAL,Providencia,2,MELCHOR CONCHA 9 BARRIO BELLAVISTA,367,5,15,PR,367_PR_5,25,0.708578397,0.001537594,34011.76304,52,2353
COZ Y CIA. LTDA.,Las Condes,3,AV LAS CONDES 11380 OF. 101,33,1,150,LC,33_LC_1,27,0.299534329,1.90E-09,15527.85959,0,0
CTRO. DE ANALISIS Y ASES DE MERCADO  LTD,Providencia,2,CARLOS ANTUNEZ  1843 DEPTO  105  BLOCK22,221,3,35,PR,221_PR_3,35,0.545196746,7.90E-06,36637.22136,0,13
