razonSocial,nomComuna,place,direccion,idCust,weekday,serviceTime,COD,Name,p,p05,p10,p15,p20,p25,p50,p100,#cliente,day,place,penalty,service
BANCO SANTANDER CHILE,Santiago,1,MONEDA 975  PISO 5,9,1,360,SA,9_SA_1,21600,20244,19046,15295,17739,17389,8525,4621,9_SA_1,1,1,4621,360
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 920 P.4,10,1,60,SA,10_SA_1,21600,20244,19046,15295,17739,17389,8525,4621,10_SA_1,1,1,4621,60
BANCO SANTANDER CHILE,Santiago,1,MATIAS COUSI?O 199 P-9,13,1,60,SA,13_SA_1,21600,20244,19046,15295,17739,17389,8525,4621,13_SA_1,1,1,4621,60
BANCO SANTANDER CHILE,Santiago,1,BANDERA 140 P.2,14,1,90,SA,14_SA_1,21600,20244,19046,15295,17739,17389,8525,4621,14_SA_1,1,1,4621,90
BANCO SANTANDER CHILE,Santiago,1,MONEDA 971 PISO 1 DPTO SOLUCIONES,350,5,180,SA,350_SA_5,21600,20244,19046,15295,17739,17389,8525,4621,350_SA_5,5,1,4621,180
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 1389 P.2,12,1,75,SA,12_SA_1,21600,20244,19046,15295,17739,17389,8525,4621,12_SA_1,1,1,4621,75
BANCO SANTANDER CHILE,Santiago,1,IRENE MORALES 10 PLAZA ITALIA,204,3,80,SA,204_SA_3,21600,20244,19046,15295,17739,17389,8525,4621,204_SA_3,3,1,4621,80
BANCO SANTANDER CHILE,Santiago,1,BANDERA 206 P 8,205,3,60,SA,205_SA_3,21600,20244,19046,15295,17739,17389,8525,4621,205_SA_3,3,1,4621,60
BANCO SANTANDER CHILE,Providencia,2,AV FCO BILBAO 2082 SUBT,352,5,70,PR,352_PR_5,21600,20244,19046,15295,17739,17389,8525,4621,352_PR_5,5,2,4621,70
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 170  1ER SUBTE.,11,1,120,SA,11_SA_1,21600,20244,19046,15295,17739,17389,8525,4621,11_SA_1,1,1,4621,120
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1157,275,4,90,SA,275_SA_4,21600,20244,19046,15295,17739,17389,8525,4621,275_SA_4,4,1,4621,90
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1269,276,4,60,SA,276_SA_4,21600,20244,19046,15295,17739,17389,8525,4621,276_SA_4,4,1,4621,60
BANCO SANTANDER CHILE,Santiago,1,CURICO 38 PISO 2.,277,4,120,SA,277_SA_4,21600,20244,19046,15295,17739,17389,8525,4621,277_SA_4,4,1,4621,120
BANCO SANTANDER CHILE,Santiago,1,HUERFANOS 1081,120,2,55,SA,120_SA_2,21600,20244,19046,15295,17739,17389,8525,4621,120_SA_2,2,1,4621,55
BANCO SANTANDER CHILE,Santiago,1,MONEDA 975 P5,279,4,300,SA,279_SA_4,21600,20244,19046,15295,17739,17389,8525,4621,279_SA_4,4,1,4621,300
BANCO SANTANDER CHILE,"??""u?'oa",5,IRARRAZAVAL 2709 PISO1 INTERIO,280,4,60,NU,280_NU_4,21600,20244,19046,15295,17739,17389,8525,4621,280_NU_4,4,5,4621,60
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 52 SUBTERRANEO,119,2,60,SA,119_SA_2,21600,20244,19046,15295,17739,17389,8525,4621,119_SA_2,2,1,4621,60
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 920 P.2,124,2,30,SA,124_SA_2,21600,20244,19046,15295,17739,17389,8525,4621,124_SA_2,2,1,4621,30
BANCO SANTANDER CHILE,Las Condes,3,EL RODEO 12850 LOCAL 33,121,2,45,LC,121_LC_2,21600,20244,19046,15295,17739,17389,8525,4621,121_LC_2,2,3,4621,45
BANCO SANTANDER CHILE,Santiago,1,AHUMADA 170 PISO 3,122,2,50,SA,122_SA_2,21600,20244,19046,15295,17739,17389,8525,4621,122_SA_2,2,1,4621,50
BANCO SANTANDER CHILE,Santiago,1,BANDERA 172 (12) PISO 5,351,5,60,SA,351_SA_5,21600,20244,19046,15295,17739,17389,8525,4621,351_SA_5,5,1,4621,60
BANCO SANTANDER CHILE,Santiago,1,ALAMEDA 1449 P.6,118,2,120,SA,118_SA_2,21600,20244,19046,15295,17739,17389,8525,4621,118_SA_2,2,1,4621,120
BANCO SANTANDER CHILE,Providencia,2,AV. PROVIDENCIA 2051,278,4,150,PR,278_PR_4,21600,20244,19046,15295,17739,17389,8525,4621,278_PR_4,4,2,4621,150
BANCO SANTANDER CHILE,Santiago,1,AGUSTINAS 1025 P 4,116,2,60,SA,116_SA_2,21600,20244,19046,15295,17739,17389,8525,4621,116_SA_2,2,1,4621,60
BANCO SANTANDER CHILE,Santiago,1,Agustinas 1025 piso 5 Crillon,117,2,140,SA,117_SA_2,21600,20244,19046,15295,17739,17389,8525,4621,117_SA_2,2,1,4621,140
BANCO SANTANDER CHILE,Santiago,1,BANDERA 140 P 18 ADMISION DE R,123,2,50,SA,123_SA_2,21600,20244,19046,15295,17739,17389,8525,4621,123_SA_2,2,1,4621,50
BANCOESTADO CORREDORES DE SEGUROS LTDA.,Santiago,1,MONEDA 1140 PISO 2,15,1,240,SA,15_SA_1,21600,20302,19119,15525,17763,17440,8536,4821,15_SA_1,1,1,4821,240
"BANKBOSTON, N.A.",Santiago,1,NVA.YORK 33 ..SUCURSAL,125,2,60,SA,125_SA_2,21600,20306,19244,15526,17932,17462,8883,4912,125_SA_2,2,1,4912,60
"BANKBOSTON, N.A.",Providencia,2,ENRIQUE FOSTER SUR 20..P-6,281,4,70,PR,281_PR_4,21600,20306,19244,15526,17932,17462,8883,4912,281_PR_4,4,2,4912,70
BAYERISCHE HAUSBAN INMOBILIARIA LTDA.,Las Condes,3,AV APOQUINDO 3721 PISO 21,282,4,90,LC,282_LC_4,21600,20377,19261,15566,17938,17485,8889,4966,282_LC_4,4,3,4966,90
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 3.,127,2,80,PR,127_PR_2,21600,20454,19359,15568,17953,17714,9044,5123,127_PR_2,2,2,5123,80
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 4,206,3,35,PR,206_PR_3,21600,20454,19359,15568,17953,17714,9044,5123,206_PR_3,3,2,5123,35
BELLSOUTH INVERSIONES S.A.,Providencia,2,MANUEL MONTT 1404 PISO 4,126,2,180,PR,126_PR_2,21600,20454,19359,15568,17953,17714,9044,5123,126_PR_2,2,2,5123,180
BESTPHARMA S.A,Santiago,1,ERASMO ESCALA 1875 PISO 2,353,5,5,SA,353_SA_5,21600,20466,19375,15589,17994,17790,9070,5362,353_SA_5,5,1,5362,5
BIOMET CHILE S.A.,Providencia,2,POCURO 2255,354,5,30,PR,354_PR_5,21600,20472,19388,15673,18048,17833,9621,5495,354_PR_5,5,2,5495,30
BOLSA DE C.DE STGO.BOLSA DE VAL.,Santiago,1,LA BOLSA 64 P.1,16,1,110,SA,16_SA_1,21600,20496,19423,15685,18073,17931,10017,5638,16_SA_1,1,1,5638,110
BOLSA DE C.DE STGO.BOLSA DE VAL.,Santiago,1,LA BOLSA 64 P.3 OF.227 SERVICIOS,207,3,50,SA,207_SA_3,21600,20496,19423,15685,18073,17931,10017,5638,207_SA_3,3,1,5638,50
C.M.P.C. PAPELES S.A.,Santiago,1,AGUSTINAS 1357 ENTREPISO,128,2,120,SA,128_SA_2,21600,20536,19459,15944,18134,17940,10061,5706,128_SA_2,2,1,5706,120
CADE IDP.SERV.DE INGENIERIA LTDA,"??""u?'oa",5,VILLASECA 21 PISO 8,17,1,180,NU,17_NU_1,21600,20545,19472,16010,18138,18002,10134,5859,17_NU_1,1,5,5859,180
CADE IDP.SERV.DE INGENIERIA LTDA,"??""u?'oa",5,"JOSE DOMINGO CA??""AS 2640",129,2,120,NU,129_NU_2,21600,20545,19472,16010,18138,18002,10134,5859,129_NU_2,2,5,5859,120
CAJA DE C.A.F.GABRIELA MISTRAL,Santiago,1,"AV. VICU??""A MACKENNA 165 UNIDAD SUBSIDIOS",283,4,180,SA,283_SA_4,21600,20561,19502,16016,18181,18020,10163,5946,283_SA_4,4,1,5946,180
CAJA DE COMPENSAC.DE LOS ANDES,Las Condes,3,ROSARIO SUR 85,355,5,150,LC,355_LC_5,21600,20598,19576,16088,18183,18055,10350,6087,355_LC_5,5,3,6087,150
CAJA DE COMPENSAC.DE LOS ANDES,Santiago,1,HUERFANOS 1133 PISO 2,130,2,90,SA,130_SA_2,21600,20598,19576,16088,18183,18055,10350,6087,130_SA_2,2,1,6087,90
CAMARA DE COMERCIO DE SANTIAGO,Santiago,1,MONJITAS 392 PISO 3,356,5,150,SA,356_SA_5,21600,20608,19673,16351,18226,18104,10504,6152,356_SA_5,5,1,6152,150
CAMPVS MATER S.A.,Providencia,2,AV. PROVIDENCIA 1760 P.14,131,2,215,PR,131_PR_2,21600,20613,19711,16409,18291,18138,10519,6236,131_PR_2,2,2,6236,215
CARABINEROS DE CHILE,Santiago,1,AMUNATEGUI  519 SUB DIR.TRANSITO P9,18,1,90,SA,18_SA_1,21600,20645,19730,16627,18319,18144,10630,6248,18_SA_1,1,1,6248,90
CARABINEROS DE CHILE,Santiago,1,ALAMEDA 1196 P 6 DPTO 2,208,3,90,SA,208_SA_3,21600,20645,19730,16627,18319,18144,10630,6248,208_SA_3,3,1,6248,90
CARABINEROS DE CHILE,Santiago,1,AMUNATEGUI 519 P 11,209,3,45,SA,209_SA_3,21600,20645,19730,16627,18319,18144,10630,6248,209_SA_3,3,1,6248,45
CARABINEROS DE CHILE,Santiago,1,AV BERNARDO OHIGGINS 1196 P 10 ADM CAJA,132,2,20,SA,132_SA_2,21600,20645,19730,16627,18319,18144,10630,6248,132_SA_2,2,1,6248,20
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943 PISO 1,19,1,180,SA,19_SA_1,21600,20692,19772,16648,18528,18216,10934,6298,19_SA_1,1,1,6298,180
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943 PISO 1,210,3,180,SA,210_SA_3,21600,20692,19772,16648,18528,18216,10934,6298,210_SA_3,3,1,6298,180
CASA DE ESTUDIOS P.DE VALDIVIA,Santiago,1,AGUSTINAS 1943,284,4,240,SA,284_SA_4,21600,20692,19772,16648,18528,18216,10934,6298,284_SA_4,4,1,6298,240
CHILECTRA S.A.,Santiago,1,SANTA ROSA 76 PISO 4,134,2,60,SA,134_SA_2,21600,20721,19774,16663,18555,18510,11008,6696,134_SA_2,2,1,6696,60
CHILECTRA S.A.,Santiago,1,VICTORIA 612 PISO 2,133,2,90,SA,133_SA_2,21600,20721,19774,16663,18555,18510,11008,6696,133_SA_2,2,1,6696,90
CHILECTRA S.A.,Santiago,1,VICTORIA 612 PISO 2,357,5,60,SA,357_SA_5,21600,20721,19774,16663,18555,18510,11008,6696,357_SA_5,5,1,6696,60
CIA. AMERICANA DE MULTISERVICIOS LTDA.,Santiago,1,TARAPACA 934 PISO 2,285,4,60,SA,285_SA_4,21600,20731,19781,16706,18583,18550,11020,6992,285_SA_4,4,1,6992,60
CIA. CERVECERIAS UNIDAS S.A.,Santiago,1,BANDERA 84 P9,135,2,60,SA,135_SA_2,21600,20733,19898,16788,18630,18593,11124,7435,135_SA_2,2,1,7435,60
CIA. CERVECERIAS UNIDAS S.A.,Santiago,1,BANDERA 84 PISO 8  DEPTO.TESORERIA,20,1,60,SA,20_SA_1,21600,20733,19898,16788,18630,18593,11124,7435,20_SA_1,1,1,7435,60
CIA. CHILENA DE PERFORACIONES LTDA.,Las Condes,3,BENJAMIN 2935  PISO 8  OF.802,136,2,30,LC,136_LC_2,21600,20742,19948,16837,18638,18687,11341,7993,136_LC_2,2,3,7993,30
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,PEDRO DE VALDIVIA 291 PISO 13,286,4,60,PR,286_PR_4,21600,20762,19979,16863,18674,18754,11409,9187,286_PR_4,4,2,9187,60
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Las Condes,3,LOS BRONCES PROYECTO SAN FRANC,360,5,10,LC,360_LC_5,21600,20762,19979,16863,18674,18754,11409,9187,360_LC_5,5,3,9187,10
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,P.DE VALDIVIA 291 PISO 1,358,5,70,PR,358_PR_5,21600,20762,19979,16863,18674,18754,11409,9187,358_PR_5,5,2,9187,70
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Providencia,2,"AV. PEDRO DE VALDIVIA 291, 1 SUBTERRANEO",137,2,150,PR,137_PR_2,21600,20762,19979,16863,18674,18754,11409,9187,137_PR_2,2,2,9187,150
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Las Condes,3,"LOS BRONCES,GERENCIA PLANTAS,S",359,5,10,LC,359_LC_5,21600,20762,19979,16863,18674,18754,11409,9187,359_LC_5,5,3,9187,10
CIA. MINERA DISPUTADA LAS CONDES LTDA.,Santiago,1,PEDRO DE VALDIVIA 291 1 SUB,361,5,10,SA,361_SA_5,21600,20762,19979,16863,18674,18754,11409,9187,361_SA_5,5,1,9187,10
CIA.ELECTROMETALURGICA S.A.,"??""u?'oa",5,AV. V.MACKENNA 1570 GCIA.. GEN,21,1,90,NU,21_NU_1,21600,20769,19986,16901,18798,18805,11594,9506,21_NU_1,1,5,9506,90
CIA.ELECTROMETALURGICA S.A.,"??""u?'oa",5,AVDA VICU?A MACKENNA 1570 G COMERCIAL,211,3,40,NU,211_NU_3,21600,20769,19986,16901,18798,18805,11594,9506,211_NU_3,3,5,9506,40
CIENTOCHENTA GRADOS S.A.,Providencia,2,NVA.LOS LEONES 07 PISO 10,362,5,240,PR,362_PR_5,21600,20770,19991,17096,18938,18861,11841,9752,362_PR_5,5,2,9752,240
CITIBANK N.A.,Providencia,2,AV PROVIDENCIA 655,22,1,60,PR,22_PR_1,21600,20776,20016,17200,18940,18862,12001,9939,22_PR_1,1,2,9939,60
CITIBANK N.A.,Las Condes,3,AV EL  BOSQUE  0500  P. 3,213,3,90,LC,213_LC_3,21600,20776,20016,17200,18940,18862,12001,9939,213_LC_3,3,3,9939,90
CITIBANK N.A.,Providencia,2,PROVIDENCIA 2653  P 2,139,2,60,PR,139_PR_2,21600,20776,20016,17200,18940,18862,12001,9939,139_PR_2,2,2,9939,60
CITIBANK N.A.,Santiago,1,HUERFANOS 770,140,2,50,SA,140_SA_2,21600,20776,20016,17200,18940,18862,12001,9939,140_SA_2,2,1,9939,50
CITIBANK N.A.,Santiago,1,TEATINOS 180 P1,288,4,60,SA,288_SA_4,21600,20776,20016,17200,18940,18862,12001,9939,288_SA_4,4,1,9939,60
CITIBANK N.A.,Providencia,2,ORREGOLUCO 58,287,4,90,PR,287_PR_4,21600,20776,20016,17200,18940,18862,12001,9939,287_PR_4,4,2,9939,90
CITIBANK N.A.,Santiago,1,AHUMADA 40,212,3,40,SA,212_SA_3,21600,20776,20016,17200,18940,18862,12001,9939,212_SA_3,3,1,9939,40
CITIBANK N.A.,Vitacura,4,O BRIEN 2235,138,2,90,VI,138_VI_2,21600,20776,20016,17200,18940,18862,12001,9939,138_VI_2,2,4,9939,90
CLINICA ALEMANA DE SANTIAGO S.A.,Vitacura,4,CONCILIO VATICANO 6017,363,5,10,VI,363_VI_5,21600,20788,20033,17211,19057,18915,12138,10542,363_VI_5,5,4,10542,10
CLINICA ALEMANA DE SANTIAGO S.A.,Vitacura,4,AV.  VITACURA 5951 CENTRO COPI,214,3,25,VI,214_VI_3,21600,20788,20033,17211,19057,18915,12138,10542,214_VI_3,3,4,10542,25
CLINITEST LTDA,Providencia,2,RICARDO LYON 1899,215,3,45,PR,215_PR_3,21600,20790,20044,17234,19118,18925,12371,11000,215_PR_3,3,2,11000,45
CMPC CELULOSA S.A.,Santiago,1,AGUSTINAS 1357  P2,23,1,90,SA,23_SA_1,21600,20791,20111,17292,19138,18948,12696,11125,23_SA_1,1,1,11125,90
COASIN CHILE S.A.,Providencia,2,AV. HOLANDA 1292,24,1,100,PR,24_PR_1,21600,20799,20135,17320,19149,18950,12803,11186,24_PR_1,1,2,11186,100
COCA COLA DE CHILE S.A.,Las Condes,3,AV. KENNEDY 5757 P.11,289,4,110,LC,289_LC_4,21600,20805,20197,17373,19154,18964,12978,11566,289_LC_4,4,3,11566,110
COGAN GRUPO NORTE S.A.,Providencia,2,MARCHANT PEREIRA 1030,25,1,90,PR,25_PR_1,21600,20806,20220,17406,19244,19077,13194,11584,25_PR_1,1,2,11584,90
COLEGIO CALASANZ,"??""u?'oa",5,MONTENEGRO 661,141,2,150,NU,141_NU_2,21600,20826,20235,17449,19280,19121,13254,11795,141_NU_2,2,5,11795,150
COLEGIO CALASANZ,"??""u?'oa",5,MONTENEGRO 661,26,1,420,NU,26_NU_1,21600,20826,20235,17449,19280,19121,13254,11795,26_NU_1,1,5,11795,420
COLEGIO DEL SAGRADO CORAZON,Las Condes,3,SANTA MAGDALENA SOFIA 277,27,1,180,LC,27_LC_1,21600,20852,20252,17506,19318,19291,13318,11903,27_LC_1,1,3,11903,180
COMANDANCIA EN JEFE,Santiago,1,ZENTENO 45 P.5 ALA NORTE AYUDANTIA,216,3,80,SA,216_SA_3,21600,20914,20284,17554,19342,19354,13319,11975,216_SA_3,3,1,11975,80
COMERCIAL CYP S.A.,Santiago,1,ESTADO 10 OF. 1701,28,1,30,SA,28_SA_1,21600,20917,20305,17623,19353,19440,13324,12149,28_SA_1,1,1,12149,30
COMERCIAL ECCSA S.A.,Santiago,1,HUERFANOS 979  OF.401,29,1,60,SA,29_SA_1,21600,20918,20327,17631,19390,19529,14046,12202,29_SA_1,1,1,12202,60
